time,size_sent,size_rcv 
0,13.20390625,52.184375 
10,50.0890625,361.003125 
20,37.67734375,637.88203125 
30,9.5703125,109.04453125 
40,9.0859375,53.5765625 
50,78.35546875,705.68515625 
60,99.81953125,1279.79453125 
70,34.04765625,915.13203125 
80,4.4640625,60.146875 
90,18.6890625,115.92421875 
100,186.171875,1555.9734375 
110,171.04375,2518.8703125 
120,61.51640625,1182.925 
130,9.7453125,330.6984375 
140,150.4265625,934.41796875 
150,421.159375,4272.2359375 
160,252.89453125,4389.77890625 
170,57.21953125,1173.7890625 
180,13.33515625,183.840625 
190,59.67421875,369.75390625 
200,690.94609375,5406.3453125 
210,736.17578125,12053.6203125 
220,247.40703125,6098.221875 
230,40.56875,1194.55234375 
240,6.28359375,58.73515625 
250,0,0 
260,102.2078125,670.93125 
270,1191.1859375,9849.065625 
280,1496.49296875,21373.1875 
290,556.6078125,21046.61796875 
300,113.4921875,3252.15390625 
310,7.7171875,100.0203125 
320,1.2171875,3.58828125 
322,0,0 
