time,freemem@tsung_controller@ip-172-31-28-177 
0,731.51171875 
10,734.9765625 
20,725.49609375 
30,725.51171875 
40,729.76953125 
50,726.6328125 
60,716.6796875 
70,709.49609375 
80,721.015625 
90,726.2421875 
100,720.92578125 
110,686.890625 
120,682.72265625 
130,690.5234375 
140,703.6171875 
150,667.68359375 
160,624.2734375 
170,626.265625 
180,659.1875 
190,668.22265625 
200,666.19140625 
210,542.8984375 
220,506.0546875 
230,574.7578125 
240,630.44140625 
250,638.67578125 
260,642.5078125 
270,635.55078125 
280,379.7265625 
290,286.0703125 
300,408.89453125 
310,561.296875 
320,609.734375 
322,612.5859375 
