time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,3.9,,,,,,,,0.4,,,,0.1,,,0.9,0.6,,0.1,,,,0.1,, 
10,8,,,,0.3,0.3,,0.2,1.1,,0.2,,0.1,0.3,,0.6,1.2,0.1,0.2,,,0.5,0.2,,0.3 
20,3.4,,,0.1,0.1,0.1,0.1,0.2,0.8,,0.1,,0,0.1,0.1,0,0.5,0.2,0.3,,,0.2,0.3,,0.1 
30,1.6,0.1,,0.1,0.1,0,0.1,0,0,,0.1,0.1,0,0.2,0.1,0,0,0.1,0,,,0.5,0,0.1,0.1 
40,0.3,0.1,,0,0,0,0,0.1,0,,0,0.1,0,0,0,0,0,0,0,,,0,0,0.1,0 
50,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0 
60,0.1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.1,0,0,0,0 
70,0.7,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0 
80,1.6,0,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.5,0.3,0,0,0,0 
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
