time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,202.611,,,,,,,,109.744,,,,77.754,,,202.731,5587.838,,,,,,,, 
10,1141.729,,,99.192,9.613,45.707,29.01,11.66,233.848,,9.807,,89.543,17.198,308.853,202.731,8019.781,144.125,137.489,,,1147.318,916.919,,11.286 
20,1141.729,58.367,,99.192,9.613,45.707,29.01,13.392,233.848,,9.807,27.344,89.543,17.198,400.043,202.731,12794.785,144.125,137.489,,,1147.318,916.919,37.361,11.286 
30,1141.729,58.367,,99.192,9.613,45.707,29.01,13.392,233.848,,9.807,49.715,89.543,17.198,400.043,202.731,12794.785,144.125,137.489,,,1147.318,916.919,58.658,11.286 
40,1141.729,58.367,,99.192,9.613,45.707,29.01,13.392,233.848,,9.807,49.715,89.543,17.198,400.043,202.731,12794.785,144.125,137.489,,,1147.318,916.919,58.658,11.286 
50,1141.729,58.367,,99.192,9.613,45.707,29.01,13.392,233.848,,9.807,49.715,89.543,17.198,400.043,202.731,12794.785,144.125,137.489,,,1147.318,916.919,58.658,11.286 
60,1141.729,58.367,,99.192,9.613,45.707,29.01,13.392,233.848,,9.807,49.715,89.543,17.198,400.043,202.731,12794.785,144.125,137.489,,,1147.318,916.919,58.658,11.286 
70,60009.477,58.367,13.737,99.192,9.613,45.707,29.01,13.392,233.848,12.494,9.807,49.715,89.543,17.198,400.043,202.731,12794.785,144.125,137.489,34.116,60009.652,1147.318,916.919,58.658,11.286 
80,60009.477,58.367,13.737,99.192,9.613,45.707,29.01,13.392,233.848,12.494,9.807,49.715,89.543,17.198,400.043,202.731,12794.785,144.125,137.489,38.755,60009.652,1147.318,916.919,58.658,11.286 
90,60009.477,58.367,13.737,99.192,9.613,45.707,29.01,13.392,233.848,12.494,9.807,49.715,89.543,17.198,400.043,202.731,12794.785,144.125,137.489,38.755,60009.652,1147.318,916.919,58.658,11.286 
94,60009.477,58.367,13.737,99.192,9.613,45.707,29.01,13.392,233.848,12.494,9.807,49.715,89.543,17.198,400.043,202.731,12794.785,144.125,137.489,38.755,60009.652,1147.318,916.919,58.658,11.286 
