time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,54.92231147540985,,,,,36.147,,,75.21250000000002,,7.519,,89.07733333333333,,,53.07908333333334,2074.7395,,,,,,,, 
10,188.5953789473684,,,91.22749999999999,11.225999999999999,24.725,91.62,26.5175,208.99663157894736,,8.515,,0,36.821,643.0015000000001,263.7852857142857,3920.5978124999992,136.9445,23.902,,,2172.371,2164.947,,48.977000000000004 
20,1422.0315116279069,57.266,,287.671,12.878333333333332,16.481,0,19.826999999999998,294.1742,,6.564,155.64466666666667,0,44.296,882.0,0,7348.849499999999,154.114,40.64020000000001,,,7527.307,6880.263800000001,98.253,22.423999999999996 
30,3744.649153846154,59.449,,0,0,0,0,24.092,0,,0,0,0,74.16624999999999,0,0,0,0,45.571,,,8013.1302,8106.105,106.147,0 
40,5324.8009999999995,0,,0,0,0,0,0,0,,0,0,0,33.876000000000005,0,0,0,0,0,,,7443.373799999999,0,0,0 
50,6763.16,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,6763.364,0,0,0 
60,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0 
70,22533.3868125,0,32.554500000000004,0,0,0,0,0,0,16.3155,0,0,0,0,0,0,0,0,0,164.6655,60001.986333333334,0,0,0,0 
80,10490.93547826087,0,28.13366666666667,0,0,0,0,0,0,18.452166666666667,0,0,0,0,0,0,0,0,0,142.15342857142858,60005.194749999995,0,0,0,0 
90,154.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.157,0,0,0,0,0 
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
