time,recvpackets@tsung_controller@ip-172-31-30-207 
10,551 
20,551 
30,551 
40,270 
50,270 
60,270 
70,270 
80,270 
90,270 
100,270 
110,270 
120,270 
130,270 
140,270 
150,270 
160,270 
170,270 
180,270 
190,197 
200,197 
210,197 
220,122 
230,122 
240,122 
250,122 
260,122 
270,122 
280,122 
290,122 
300,122 
310,122 
320,122 
330,122 
340,122 
350,122 
360,122 
370,114 
380,60 
390,8 
400,8 
410,8 
420,8 
430,8 
440,8 
450,2 
460,2 
470,2 
480,2 
490,2 
500,2 
510,2 
520,2 
530,2 
540,2 
550,2 
560,2 
570,2 
580,2 
590,2 
600,2 
610,2 
620,2 
630,2 
640,2 
650,2 
660,2 
670,2 
680,2 
690,2 
700,2 
710,2 
720,2 
730,2 
740,2 
750,2 
760,2 
770,2 
780,2 
790,2 
800,2 
810,2 
820,2 
830,2 
840,2 
843,2 
