time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,4.107,,,8.525,,36.205,,43.214,,,84.067,,,40.247,975.602,,8.959,,1660.153,1467.775,, 
10,4.107,,94.955,8.525,22.973,36.205,28.649,43.214,8.463,,84.067,31.975,442.588,40.247,906.852,,8.959,,1660.153,1467.775,,15.84 
20,4.107,53.9,94.955,8.525,21.4,36.205,20.173,43.214,7.558,78.628,84.067,31.975,442.588,40.247,906.852,133.9,8.959,,1660.153,1467.775,131.179,15.84 
30,4.107,53.9,94.955,8.525,21.4,36.205,20.173,43.214,7.558,78.628,84.067,31.975,442.588,40.247,906.852,133.9,8.959,,1660.153,1467.775,131.179,15.84 
40,4.107,53.9,94.955,8.525,21.4,36.205,20.173,43.214,7.558,78.628,84.067,30.055,442.588,40.247,906.852,133.9,8.959,,1660.153,1467.775,131.179,15.84 
50,4.107,53.9,94.955,8.525,21.4,36.205,20.173,43.214,7.558,78.628,84.067,30.055,442.588,40.247,906.852,133.9,8.959,,1660.153,1467.775,131.179,15.84 
60,4.107,53.9,94.955,8.525,21.4,36.205,20.173,43.214,7.558,78.628,84.067,30.055,442.588,40.247,906.852,133.9,8.959,60000.804,1660.153,1467.775,131.179,15.84 
70,4.107,53.9,94.955,8.525,21.4,36.205,20.173,43.214,7.558,78.628,84.067,30.055,442.588,40.247,906.852,133.9,8.959,59999.76,1660.153,1467.775,131.179,15.84 
80,4.107,53.9,94.955,8.525,21.4,36.205,20.173,43.214,7.558,78.628,84.067,30.055,442.588,40.247,906.852,133.9,8.959,59999.76,1660.153,1467.775,131.179,15.84 
90,4.107,53.9,94.955,8.525,21.4,36.205,20.173,43.214,7.558,78.628,84.067,30.055,442.588,40.247,906.852,133.9,8.959,59999.76,1660.153,1467.775,131.179,15.84 
100,4.107,53.9,94.955,7.001,21.4,36.205,20.173,43.214,7.558,78.628,84.067,30.055,442.588,40.247,906.852,133.9,8.959,59999.76,1660.153,1467.775,131.179,15.84 
110,3.982,53.9,94.955,5.536,16.475,15.728,19.813,43.214,7.558,78.628,84.067,30.055,442.588,40.247,832.679,133.9,8.959,59999.76,1660.153,1467.775,131.179,15.84 
120,3.806,53.9,94.955,5.536,16.475,15.728,15.829,43.214,5.104,78.628,84.067,30.055,442.588,40.247,832.679,133.9,8.959,59999.76,1660.153,1467.775,131.179,15.84 
130,3.806,53.9,94.955,5.536,16.475,15.728,13.016,43.214,5.104,78.628,84.067,30.055,442.588,40.247,832.679,133.9,8.959,59999.76,1660.153,1467.775,115.512,15.84 
