time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,4,,,,0.1,,,,0.3,,,,0.3,,,0.8,0.4,,,,,,,, 
10,8,,,0.1,0.2,,0.5,0.2,1.4,,,,0.2,,0.4,0.4,1.6,,0.2,,,,0.2,,0.2 
20,3.3,0.2,,0.4,0.3,,0,0.2,0.6,,,0.3,0,0.1,0.1,0,0.3,,0.1,,,0.2,0.1,0.2,0.3 
30,1.3,0.2,,0,0,,0,0.2,0,,,0.1,0,0.1,0,0,0,,0.3,,,0,0.3,0.2,0.1 
40,1,0.1,,0,0,,0,0,0,,,0.1,0,0.3,0,0,0,,0,,,0.5,0,0.1,0 
50,0.4,0,,0,0,,0,0,0,,,0,0,0.1,0,0,0,,0,,,0.3,0,0,0 
60,0.5,0,0.1,0,0,,0,0,0,0.1,,0,0,0,0,0,0,,0,,0.1,0.2,0,0,0 
70,0.8,0,0.2,0,0,,0,0,0,0.2,,0,0,0,0,0,0,,0,0.2,0.2,0,0,0,0 
80,1.2,0,0.3,0,0,,0,0,0,0.3,,0,0,0,0,0,0,,0,0.3,0.3,0,0,0,0 
90,0.5,0,0,0,0,,0,0,0,0,,0,0,0,0,0.2,0,,0,0.1,0,0,0,0,0 
100,16.8,0,0,0.1,0.1,,0.1,0,1.9,0,,0,1,0,0.1,2.3,2.9,,0,0,0,0,0,0,0.1 
110,14.5,0.3,0,0.3,0.4,0.4,0.7,0.4,3.7,0,0.4,0.3,0.2,0,0.3,0.3,2.8,0.2,0,0,0,0,0,0.3,0.3 
120,3.5,0.2,0,0.5,0.1,0.1,0.3,0.2,0.4,0,0.1,0.2,0,0,0.5,0,0.3,0.3,0,0,0,0,0,0.2,0.2 
130,1.7,0.5,0,0.2,0,0,0.1,0,0,0,0,0.5,0,0,0.2,0,0,0,0.1,0,0,0,0.1,0.5,0 
140,1.8,0.2,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0.6,0,0,0,0.6,0.2,0 
150,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0 
160,1.9,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0 
170,3.3,0,0.9,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0.6,0.9,0,0,0,0 
180,3.2,0,0.6,0,0,0,0,0,0,0.6,0,0,0,0.3,0,0,0,0,0,1.1,0.3,0.3,0,0,0 
190,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.5,0,0,0 
200,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.7,0,0,0 
210,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0 
220,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0,0,0 
230,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0 
240,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0 
250,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0 
251,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0 
