time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,79.41240123763731,,,,0,,,,7.906226463293912,,,,93.56666355420967,,,20.3601114544469,670.4348185436727,,,,,,,, 
10,643.7177426433714,,,0,1.7799999999999998,,20.704111601322094,3.4405,77.9986032049515,,,,4.178500000000007,,61.77406922609196,52.72726995765569,2110.4849104152577,,9.512999999999998,,,,679.7505000000001,,15.9365 
20,2589.5235076541053,6.817999999999998,,13.236307765007583,47.14150303312594,,0,1.8964999999999996,59.86485312049876,,,7.900034725662074,0,0,0.0,0,1221.1358990131553,,0.0,,,1812.3645,0.0,22.540000000000003,61.48780026964699 
30,5048.980071729332,5.613500000000002,,0,0,,0,112.14099999999999,0,,,0.0,0,0.0,0,0,0,,10.138096117560188,,,0,772.548878179382,16.7945,0.0 
40,6536.622984220861,0.0,,0,0,,0,0,0,,,0.0,0,3.323841786581037,0,0,0,,0,,,483.1487572922453,0,0.0,0 
50,4887.958344281281,0,,0,0,,0,0,0,,,0,0,0.0,0,0,0,,0,,,542.1786198299102,0,0,0 
60,22313.283571909174,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,439.1764999999996,0,0,0 
70,25942.79159120506,0,10.5165,0,0,,0,0,0,2.109,,0,0,0,0,0,0,,0,61.28250000000001,1.9770000000007713,0,0,0,0 
80,25936.805377370467,0,3.043075673649204,0,0,,0,0,0,1.6358851494595275,,0,0,0,0,0,0,,0,24.033698716593747,1.786320302249428,0,0,0,0 
90,120.83245207708069,0,0,0,0,,0,0,0,0,,0,0,0,0,13.161500000000004,0,,0,0.0,0,0,0,0,0 
100,209.90154420066352,0,0,0.0,0.0,,0.0,0,137.68128871696598,0,,0,106.56499500136056,0,0.0,184.13019951107606,1263.338123227957,,0,0,0,0,0,0,0.0 
110,488.51727871706544,24.858254247276136,0,20.905076464820688,16.16607341587623,85.91232045630882,87.81605915404619,128.91987756839518,145.83533139283247,0,1.5773955393305759,15.186307260892034,139.43900000000005,0,207.85079416147448,154.2365378076443,2161.40211986966,1.2245000000000061,0,0,0,0,0,177.23759706300092,4.538874040503388 
120,1439.8991771248725,7.042999999999996,0,35.26464152887422,0.0,0.0,2.824840447805072,9.426499999999997,45.22924911699841,0,0.0,0.9975000000000023,0,0,233.93496541269758,0,2157.866971815146,8.88238451468224,0,0,0,0,0,18.723999999999997,0.023500000000001187 
130,7429.832094798003,16.750524655663774,0,184.3145,0,0,0.0,0,0,0,0,13.455330007101272,0,0,231.81850000000009,0,0,0,0.0,0,0,0,0.0,11.801472474229646,0 
140,17379.13548786494,13.29150000000001,0,0.0,0,0,0,0,0,0,0,17.9445,0,0,0.0,0,0,0,17.943406771166828,0,0,0,1996.933486752431,10.311000000000007,0 
150,21215.14272399203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11182075669842,0,0,0,1822.6700263815594,0,0 
160,26851.052355373125,0,11.133500000000003,0,0,0,0,0,0,167.30800000000002,0,0,0,0,0,0,0,0,11.28599591352044,0,1.4695171179698892,0,2077.2780386872046,0,0 
170,26615.147445009847,0,12.638372873471049,0,0,0,0,0,0,10.125832794283035,0,0,0,0,0,0,0,0,0,189.3586216613129,2.0204427457581198,0,0,0,0 
180,20351.28301392885,0,8.098755345044621,0,0,0,0,0,0,3.499665210178444,0,0,0,1.555689771987552,0,0,0,0,0,164.3981293177436,2.641370898268757,2543.470226877355,0,0,0 
190,22373.125305706442,0,0,0,0,0,0,0,0,0,0,0,0,7.572826833488272,0,0,0,0,0,0,0,916.2574383940373,0,0,0 
200,21963.974751017748,0,0,0,0,0,0,0,0,0,0,0,0,10.463044278953106,0,0,0,0,0,0,0,1898.6267260378877,0,0,0 
210,22630.007250261042,0,0,0,0,0,0,0,0,0,0,0,0,8.979574898624097,0,0,0,0,0,0,0,1169.95366612108,0,0,0 
220,19487.562644276586,0,0,0,0,0,0,0,0,0,0,0,0,5.466999999999999,0,0,0,0,0,0,0,0.0,0,0,0 
230,1407.9116925321218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407.9026459179945,0,0,0 
240,2673.7293822419356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2673.7286940975146,0,0,0 
250,3689.061932308571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3689.059136936368,0,0,0 
251,1137.224091798971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137.2215931512903,0,0,0 
