time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,6.558,,29.952,,,,,,38.896,50.485,,,13.353,,,13.377,873.733,,34.466,,45.428,1047.435,1074.725,, 
10,5.703,,12.713,,7.351,23.282,,44.548,16.579,34.503,7.65,,13.353,13.156,,12.067,873.733,132.542,17.164,33.707,27.785,999.528,1001.748,,9.55 
20,5.703,,11.884,,7.351,8.151,28.127,34.519,15.128,32.65,6.241,,13.353,13.156,,12.067,873.733,114.566,17.164,22.492,27.785,999.528,1001.748,,9.187 
30,5.703,,11.884,,7.351,8.09,10.725,27.0,15.128,32.65,6.241,,13.353,13.156,,12.067,873.733,114.522,17.164,22.492,27.785,999.528,1001.748,,9.182 
40,5.703,20.349,11.884,29.939,7.351,8.09,10.725,27.0,15.128,32.65,6.241,25.716,13.353,13.156,16752.548,12.067,873.733,114.522,17.164,22.492,27.785,999.528,1001.748,33.08,9.182 
50,5.703,20.349,11.884,29.939,7.351,8.09,10.725,27.0,15.128,32.65,6.241,25.716,13.353,13.156,16752.548,12.067,589.36,114.522,17.164,22.492,27.785,999.528,1001.748,33.08,9.182 
60,4.751,20.349,11.884,29.939,7.351,8.09,10.725,27.0,13.653,32.65,6.241,25.716,13.353,13.156,16752.548,12.067,589.36,114.522,12.376,22.492,27.002,999.528,944.248,33.08,8.875 
70,4.637,20.349,10.605,29.939,6.657,7.794,10.725,21.75,12.674,32.122,5.889,25.716,13.353,10.781,16752.548,12.067,589.36,114.522,11.123,22.46,22.573,952.782,944.248,33.08,8.105 
80,4.637,20.349,9.817,29.939,6.657,7.794,9.607,21.75,12.674,32.122,5.889,25.716,13.353,10.732,16752.548,12.067,589.36,114.522,11.123,22.46,22.573,952.782,939.162,33.08,8.105 
90,4.637,20.349,9.817,29.939,6.657,7.794,9.607,21.75,12.674,32.122,5.889,25.716,13.353,10.732,15795.912,12.067,589.36,114.522,11.123,22.46,22.573,920.789,939.162,33.08,8.105 
100,4.637,20.349,9.817,29.939,6.657,7.794,9.607,21.75,12.674,32.122,5.889,25.716,12.717,10.732,15795.912,12.067,589.36,114.522,11.123,22.46,22.573,920.789,939.162,33.08,8.105 
110,4.637,20.349,9.576,29.939,6.657,6.667,8.725,21.75,12.674,32.122,5.889,25.716,11.661,10.732,15795.912,11.469,435.511,114.522,10.927,22.46,22.573,909.943,900.119,33.08,7.276 
120,4.414,20.349,9.411,21.854,6.55,6.667,8.533,21.75,12.674,31.721,5.889,25.716,11.661,10.732,14992.966,11.469,435.511,114.522,9.827,21.605,22.573,909.943,900.119,33.08,7.274 
130,4.414,20.349,9.411,21.854,6.55,6.667,8.533,21.75,12.674,31.721,5.889,18.725,11.661,10.24,14607.197,11.469,435.511,114.522,9.827,21.605,22.573,888.739,900.119,30.285,7.274 
140,4.414,20.349,9.411,21.854,6.55,6.667,8.533,21.75,12.674,31.721,5.889,18.725,11.661,10.24,14607.197,11.469,435.511,114.522,9.827,21.605,22.573,888.739,900.119,28.959,7.274 
150,4.414,20.349,9.411,21.854,6.55,6.667,8.533,21.75,12.674,31.721,5.889,18.725,11.661,10.24,14607.197,11.469,435.511,114.522,9.827,21.605,22.573,888.739,900.119,28.959,7.274 
160,4.414,20.349,9.411,21.854,6.55,6.667,7.887,21.75,12.674,31.721,5.889,18.725,11.538,10.24,14607.197,11.071,430.467,114.522,9.827,21.605,22.573,888.739,900.119,28.959,7.274 
170,3.952,20.349,9.411,21.854,5.733,6.091,7.887,21.75,12.212,31.721,5.734,18.725,11.196,10.24,14607.197,10.326,257.067,114.522,9.827,21.605,21.382,888.739,837.189,28.959,7.078 
180,3.952,19.883,9.279,21.854,5.733,6.091,7.79,21.75,11.942,31.721,5.562,18.725,11.196,9.427,14607.197,10.326,257.067,114.522,9.827,21.605,21.382,888.739,837.189,28.111,7.078 
190,3.952,19.782,9.279,20.069,5.733,6.091,7.79,21.75,11.942,31.721,5.562,18.577,11.196,9.427,14607.197,10.326,257.067,114.522,9.827,21.605,21.382,888.739,837.189,28.111,6.533 
200,3.952,19.015,9.279,20.069,5.733,6.091,7.79,21.75,11.942,31.721,5.562,18.577,11.196,9.427,14607.197,10.326,257.067,114.522,9.827,21.605,21.382,888.739,837.189,26.116,6.533 
