time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,8.4,,,0.1,0.1,,0.1,,0.9,,,,0.3,0.1,0.1,1.1,1.4,,0.2,,0.1,0.1,0.2,,0.1 
10,9.4,0.1,0.5,0,0.2,0.1,0.1,0.3,1.2,0.5,,0.1,0.1,0.1,0.1,0.2,1.1,,0.5,0.4,0.6,0.1,0.5,0.1,0.2 
20,5.3,0.1,0.3,0.2,0,0,0.2,0,0.8,0.3,0.1,0.1,0,0.5,0.2,0,0.5,0.1,0.3,0.4,0.1,0.7,0.3,0.1,0 
30,1.2,0,0,0.1,0,0.1,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0.2,0,0,0.2,0.2,0,0 
40,2.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.1,0,0,1.2,0.1,0.1,0 
50,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.3,0,0,0 
60,12,0.1,0,0,0.2,0,0,0.1,0.7,0,0,0,0.2,0,0,2.7,1.5,0,0,0,0,0,0,0.1,0.2 
70,20.3,0,0.5,0.1,0.8,0.6,0.2,0.5,3.9,0.5,0.5,0,0.2,0,0.1,0.8,3.6,0.4,0.4,0.3,0.6,0.1,0.4,0,0.8 
80,9.5,0.1,0.8,0.1,0.4,0.1,0.1,0.8,1.3,0.8,0.2,0.2,0,0.1,0.1,0,0.9,0.3,0.4,0.6,0.7,0,0.4,0.1,0.4 
90,3.2,0.2,0.1,0.2,0,0,0.1,0,0.1,0.1,0,0.2,0,0.1,0.2,0,0,0,0.6,0.5,0.1,0.1,0.6,0.2,0 
100,2.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.7,0,0,0.6,0.7,0.1,0 
110,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.9,0,0,0 
120,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,0 
130,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0 
140,15.8,0,0,0,0.1,0.1,0.1,0,1.1,0,0,0,0.6,0,0,3.3,2.1,0,0.1,0,0,0.1,0.1,0,0 
150,41.6,0,1,0.1,1.4,0.5,0.3,0.9,7.2,1,0.5,0,0.5,0.1,0.1,3.4,7,0.3,0,0.5,1.8,0.1,0,0,1.4 
160,20.3,0.2,2.2,0.2,0.4,0.4,0.6,0.8,3,2.2,0.5,0.3,0,0,0.3,0,2.4,0.6,0.5,1.7,1.4,0,0.5,0.2,0.5 
