time,newphase 
50,1 
60,1 
70,1 
80,1 
90,1 
100,1 
110,2 
120,2 
130,2 
140,2 
150,2 
160,2 
170,2 
180,2 
190,2 
200,2 
210,2 
220,2 
230,2 
240,2 
250,3 
260,3 
270,3 
280,3 
290,3 
300,3 
310,3 
320,3 
330,3 
340,3 
350,3 
360,3 
370,3 
380,3 
390,3 
400,3 
410,3 
420,3 
430,3 
440,3 
450,3 
460,3 
470,4 
480,4 
490,4 
500,4 
510,4 
520,4 
530,4 
540,4 
550,4 
560,4 
570,4 
580,4 
590,4 
600,4 
610,4 
620,4 
630,4 
640,4 
650,4 
660,4 
670,4 
680,4 
690,4 
700,5 
710,5 
720,5 
730,5 
740,5 
750,5 
760,5 
770,5 
780,5 
790,5 
800,5 
810,5 
820,5 
830,5 
840,5 
850,5 
860,5 
870,5 
880,5 
890,5 
900,5 
910,5 
920,5 
930,5 
940,5 
950,5 
960,5 
962,5 
