time,tr_Post_Register,tr_Get_Root,page,tr_Redirect_To_Same_Conversation,tr_Get_New_Conversation,tr_Post_New_Conversation,tr_Get_Register,tr_Get_Conversations,tr_Redirect_Root,tr_Redirect_To_New_Conversation,tr_Reply_To_Conversation 
0,160.34,85.54,160.127,,,,11.046,8.778,62.131,, 
10,188.167,296.877,2252.054,41.914,2252.216,41.353,26.701,15.81,268.55,40.115,66.938 
20,4117.866,4446.883,6016.9,730.268,6017.047,3471.045,182.241,4304.194,4274.877,3277.137,3438.934 
30,5165.534,5057.138,10383.137,2472.046,10383.266,5018.172,1124.641,5013.673,5283.211,5021.281,5030.655 
40,6708.772,6660.413,11634.74,4826.947,11634.872,5018.172,4427.135,7415.103,6769.067,6488.947,6401.997 
50,10106.512,9320.937,15459.433,7632.102,15459.571,9887.236,5067.478,10189.318,10050.007,9023.622,9240.987 
60,10106.512,9320.937,17767.768,8950.823,16509.874,9887.236,6108.305,10189.318,10050.007,9707.316,9240.987 
70,10509.602,9320.937,18528.462,10074.845,16509.874,10383.017,6108.305,10406.817,10615.169,10879.231,10102.514 
80,10509.602,9320.937,19660.388,10074.845,16509.874,10449.867,6108.305,10625.87,10714.871,10879.231,10102.514 
90,10509.602,9320.937,19660.388,10074.845,16509.874,10449.867,6108.305,10625.87,10714.871,10879.231,10102.514 
100,10509.602,9320.937,19660.388,10074.845,16509.874,10449.867,6108.305,10625.87,10714.871,10879.231,10102.514 
110,10509.602,9320.937,19660.388,10074.845,16509.874,10449.867,6108.305,10625.87,10714.871,10879.231,10102.514 
111,10509.602,9320.937,19660.388,10074.845,16509.874,10449.867,6108.305,10625.87,10714.871,10879.231,10102.514 
