time,tr_Post_Register,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Conversation,tr_Get_Register,tr_Get_Conversations,tr_Redirect_Root,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Get_New_Conversation,tr_Reply_To_Conversation 
0,1,6.1,,0.1,1.3,0.7,0.8,,2.1,0.1, 
10,1.8,13.9,0.9,1.1,2.2,1.7,1.9,1,2.2,1.1,0.9 
20,3.7,18.2,0.3,1.1,3.2,2.5,2.7,0.5,3.1,1.1,0.3 
30,3.6,24.9,0.9,0.4,5.2,3.3,3.6,1,6.5,0.4,1 
40,2.8,17.6,0.3,0.5,3.6,1.6,2.1,0.3,5.7,0.7,0.4 
50,4.4,42,0.2,0.5,13.1,2,3,0.6,16.5,1.7,0.4 
60,3.8,27.9,0.1,1.4,11.2,1,0.7,0,8.3,1.4,0 
70,9.4,23.2,0,1.5,4.5,0.7,3.8,1.1,0,2.2,0.3 
80,2.5,28.1,1.2,1.6,0.1,9.3,10.8,1.9,0,0.7,1.6 
90,0,3.5,0.2,0.1,0,1,0.3,0.3,0,1.6,0.5 
100,0,2.2,0,0.2,0,0.6,0,0.4,0,1,0.1 
110,0,3,0.2,0.2,0,1.2,0.2,0.3,0,0.9,0.1 
120,0,6.2,0.5,0.3,0,2,0,0.2,0,3.2,0.5 
130,0,2.9,0.1,1.5,0,0.3,0,0.1,0,0.9,0.2 
140,0,3.7,0,0,0,0,0,0,0,3.7,0 
150,0,1.6,0,0,0,0,0,0,0,1.6,0 
160,0,0.8,0,0,0,0,0,0,0,0.8,0.1 
170,0,2.4,0.1,0.9,0,0.2,0,0,0,1.2,0.3 
180,0,5.3,0.5,3.2,0,0,0,0.2,0,1.4,0.2 
190,0,3.6,0.2,0.9,0,0,0,1.5,0,1,0.2 
200,0,0.3,0,0,0,0,0,0.3,0,0,0 
201,0,0,0,0,0,0,0,0,0,0,0 
