time,request,connect 
0,6.4,2.4 
10,13.2,0.6 
20,5.5,0 
30,0.3,0 
40,8.7,2.7 
50,23.7,2.5 
60,11.6,0 
70,1.4,0 
80,0.2,0 
90,4.1,2.6 
100,44.8,9.3 
110,44.6,0.1 
120,11,0 
130,1.7,0 
140,44.5,13.7 
150,106.2,10.3 
160,49.1,0 
170,12.1,0 
180,0.8,0 
190,25,12.7 
200,176,34.4 
210,167.7,0.9 
220,46.8,0 
230,5.7,0 
240,43.8,23.3 
250,314,61 
260,350.4,10.4 
270,105.9,0 
280,15.2,0 
290,1.7,0 
300,316.1,104 
310,771.8,77.4 
320,416.8,0 
330,79.2,0 
340,12.5,0 
350,0.8,0 
360,0,0 
370,166.2,89.6 
380,935.8,307.5 
390,962.6,143.3 
400,828.5,4.4 
410,346.5,0 
420,27.6,0 
430,2,0 
440,0.1,0 
450,950.3,502.3 
460,2765.1,571.4 
470,1883,105.7 
480,836.4,43 
490,84,5 
