time,size_sent,size_rcv 
0,21.23046875,195.61484375 
10,82.5859375,1132.1875 
20,107.20234375,2308.72578125 
30,108.64140625,2315.26875 
40,141.0828125,2541.0828125 
50,245.453125,6142.32890625 
60,298.61640625,8028.93828125 
70,304.06953125,8092.26875 
80,305.0703125,8096.2328125 
90,314.80546875,8165.6 
100,495.7140625,10835.52734375 
110,706.4171875,19435.0921875 
120,756.47578125,21958.5140625 
130,764.175,22056.98515625 
140,922.934375,23587.05546875 
150,1388.13671875,37763.38671875 
160,1614.65078125,50391.70078125 
170,1669.73671875,51892.75390625 
180,1672.87265625,51942.621875 
190,1743.946875,52378.2390625 
200,2454.4875,64349.54140625 
210,3244.40234375,97269.46953125 
220,3454.17109375,107156.80546875 
230,3479.778125,107878.74609375 
240,3596.22109375,108615.36875 
250,4870.625,129235.65078125 
260,6490.98671875,193670.17265625 
270,6972.428125,218940.0359375 
280,7039.89453125,221671.48203125 
290,7047.29921875,221742.64609375 
300,8164.95859375,233893.546875 
310,11575.6578125,330259.415625 
320,13501.12109375,440304.53359375 
330,13854.87890625,460643.67109375 
340,13909.36875,462539.96171875 
350,13912.865625,462551.25546875 
360,13912.865625,462551.25546875 
370,14357.434375,465372.984375 
380,18654.21640625,520307.7 
390,23150.36484375,659645.57109375 
400,26482.35625,920748.321875 
410,27812.5828125,1019537.1875 
420,27934.2859375,1023929.7875 
430,27943.42421875,1024072.63359375 
440,27943.42421875,1024074.421875 
450,31471.6671875,1039058.25078125 
460,41685.7484375,1128798.57421875 
470,48929.78359375,1328940.68125 
480,51740.8921875,1494319.03515625 
490,52095.746875,1508429.37421875 
