time,load@tsung_controller@ip-172-31-21-126 
0,0.19140625 
10,0.19140625 
20,0.19140625 
30,0.19140625 
40,0.19140625 
50,0.19140625 
60,0.19140625 
70,0.19140625 
80,0.19140625 
90,0.19140625 
100,0.19140625 
110,0.19140625 
120,0.19140625 
130,0.19140625 
140,0.19140625 
150,0.19140625 
160,0.19140625 
170,0.19140625 
180,0.19140625 
190,0.19140625 
200,0.19140625 
210,0.19140625 
220,0.19140625 
230,0.19140625 
240,0.19140625 
250,0.19140625 
260,0.19140625 
270,0.359375 
280,0.359375 
290,0.73828125 
300,0.73828125 
310,0.73828125 
320,0.87890625 
330,0.98046875 
340,0.98046875 
350,0.98046875 
360,0.98046875 
370,0.98046875 
380,0.98046875 
390,0.98046875 
400,0.98046875 
410,1.05859375 
420,1.05859375 
430,1.05859375 
440,1.05859375 
450,1.05859375 
460,1.05859375 
470,1.078125 
480,1.69140625 
490,1.69140625 
