time,request,connect 
0,137.186,13.47 
10,161.198,13.47 
20,161.198,13.47 
30,161.198,13.47 
40,161.198,13.47 
50,161.198,13.47 
60,161.198,13.47 
70,161.198,13.47 
80,161.198,13.47 
90,161.198,22.531 
100,164.471,22.531 
110,179.862,22.531 
120,179.862,22.531 
130,179.862,22.531 
140,240.797,22.531 
150,240.797,49.295 
160,245.886,49.295 
170,245.886,49.295 
180,245.886,49.295 
190,245.886,49.295 
200,245.886,49.295 
210,254.399,49.295 
220,262.124,49.295 
230,262.124,49.295 
240,262.124,49.295 
250,262.124,49.295 
260,262.124,49.295 
270,262.124,49.295 
280,473.789,49.295 
290,473.789,49.295 
300,473.789,49.295 
310,473.789,49.295 
320,473.789,49.295 
330,473.789,49.295 
340,590.614,49.295 
350,590.614,49.295 
360,590.614,49.295 
370,590.614,49.295 
380,590.614,49.295 
390,590.614,49.295 
400,590.614,49.295 
410,6868.434,49.295 
420,8731.538,49.295 
430,8731.538,49.295 
440,8731.538,49.295 
450,8731.538,49.295 
460,8731.538,49.295 
470,8731.538,49.295 
480,8731.538,49.295 
490,11799.369,49.295 
500,11799.369,49.295 
510,11799.369,49.295 
520,11799.369,49.295 
530,11799.369,49.295 
