time,sentpackets@tsung_controller@ip-172-31-29-186 
10,189 
20,416 
30,416 
40,416 
50,439 
60,786 
70,786 
80,786 
90,786 
100,786 
110,1380 
120,1480 
130,1480 
140,1480 
150,1480 
160,1740 
170,3711 
180,3711 
190,3711 
200,3711 
210,3711 
220,6021 
230,7225 
240,7225 
250,7225 
260,7225 
270,7225 
280,12671 
290,15615 
300,15615 
310,15615 
320,15615 
330,15615 
340,24861 
350,33045 
360,33045 
370,33045 
380,33045 
390,33045 
400,33045 
410,33045 
420,47161 
430,58860 
440,58860 
450,58860 
460,58860 
470,58860 
480,58860 
490,67724 
500,93182 
510,93182 
520,93182 
530,93182 
