time,session 
0,8715.012 
10,15007.24 
20,23067.215 
30,29370.112 
40,29370.112 
50,29370.112 
60,29370.112 
70,29998.866 
80,40837.489 
90,40837.489 
100,40837.489 
110,40837.489 
120,40837.489 
130,40837.489 
140,40837.489 
150,40837.489 
160,40837.489 
170,40837.489 
180,40837.489 
190,40837.489 
200,40837.489 
210,40837.489 
220,40837.489 
230,40837.489 
240,40837.489 
250,40837.489 
260,40837.489 
270,40837.489 
280,42934.201 
290,42934.201 
300,42934.201 
310,42934.201 
320,44938.247 
330,44938.247 
340,44938.247 
350,44938.247 
360,44938.247 
370,44938.247 
380,44938.247 
390,44938.247 
400,50218.031 
410,50218.031 
420,58711.078 
430,58711.078 
440,58711.078 
