time,session 
0,8715.012 
10,7747.61 
20,7747.61 
30,7747.61 
40,7747.61 
50,5185.168 
60,5185.168 
70,5185.168 
80,5185.168 
90,4959.3 
100,4959.3 
110,4959.3 
120,4959.3 
130,3470.989 
140,3470.989 
150,3470.989 
160,3470.989 
170,3470.989 
180,2098.572 
190,2098.572 
200,2098.572 
210,2098.572 
220,2098.572 
230,2098.572 
240,2098.572 
250,2098.572 
260,2098.572 
270,2098.572 
280,2098.572 
290,2098.572 
300,2098.572 
310,2098.572 
320,2098.572 
330,2098.572 
340,2098.572 
350,2098.572 
360,2098.572 
370,2098.572 
380,2098.572 
390,2098.572 
400,2098.572 
410,2098.572 
420,2098.572 
430,2098.572 
440,1584.128 
