time,size_sent,size_rcv 
0,23.5171875,160.51328125 
10,87.38515625,922.02734375 
20,108.83125,1313.85625 
30,113.0984375,1330.09140625 
40,165.25234375,1772.2984375 
50,264.84765625,2944.4671875 
60,321.278125,3770.0171875 
70,330.3125,3884.39375 
80,345.84765625,3985.3390625 
90,524.94453125,5724.88984375 
100,728.66640625,8268.86640625 
110,785.64921875,9126.8234375 
120,790.5859375,9142.9546875 
130,926.5828125,9966.82265625 
140,1345.6828125,14429.184375 
150,1564.41796875,18184.765625 
160,1604.57890625,18930.98515625 
170,1616.33203125,19099.7078125 
180,1982.784375,21990.471875 
190,2860.64140625,32256.3046875 
200,3341.721875,40901.515625 
210,3413.040625,41914.5546875 
220,3421.64921875,41953.35703125 
230,4089.53125,46461.915625 
240,5806.475,68768.7796875 
250,6768.753125,88846.35703125 
260,6966.23125,92903.02890625 
270,6986.8140625,93171.30078125 
280,8108.58515625,101672.00078125 
290,11445.33671875,150146.68515625 
300,13430.93046875,200941.12421875 
310,13841.61640625,210911.37109375 
320,13884.79921875,211667.7546875 
330,13889.24296875,211685.74609375 
340,13889.24296875,211685.74609375 
350,14276.684375,214359.46796875 
360,19339.87734375,275904.31484375 
370,25422.18359375,437683.5625 
380,27312.7546875,508539.3265625 
390,27619.21953125,518050.2671875 
400,27645.678125,518366.28125 
410,27649.0359375,518378.54921875 
420,27650.27578125,518382.14609375 
430,32248.3421875,554077.81015625 
440,41434.48359375,664349.0609375 
