time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,6.7,,,,,,,,0.4,,,,0.2,0.1,,1.6,0.8,,0.1,,,0.1,0.1,, 
10,14.1,,0.4,0.1,0.7,0.2,0.3,0.3,2.4,0.4,0.2,,0.2,0.4,0.2,0.1,2,0.2,0.7,0.2,0.5,0.9,0.7,,0.7 
20,4.4,0.3,0.2,0.3,0,0,0.1,0.4,0.2,0.2,0,0.4,0,0.4,0.2,0,0.2,0,0.1,0.3,0.1,0.8,0.1,0.3,0 
30,0.9,0.1,0.1,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0.2,0.1,0,0,0.1,0 
40,13.8,0,0.1,0,0.2,0.1,0.1,0,1.4,0.1,0.1,0,0.7,0.2,0,2.1,1.9,0,0.3,0,0.1,0.4,0.3,0,0 
50,22.6,0.1,0.5,0.4,0.7,0.2,0.6,0.6,2.9,0.5,0.2,0.1,0,0.6,0.5,1.3,3,0.2,1,0.5,0.5,1.4,1,0.1,0.8 
60,11.7,0.5,0.6,0.3,0.5,0.1,0,0.6,1.3,0.6,0.1,0.6,0,0.9,0.2,0,0.9,0.2,0.4,0.5,0.6,1.4,0.4,0.5,0.6 
70,2,0.1,0.1,0,0.1,0.1,0,0.3,0.2,0.1,0.1,0,0,0,0,0,0,0.1,0,0.3,0.2,0.2,0,0.1,0.1 
80,6,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0.4,0,0,1.9,0.2,0,0,0.1,0,0,0,0,0 
90,43.5,0,0.7,0.1,0.6,0.4,0.4,0.3,5.3,0.7,0.1,0,1.3,0.8,0.2,4.8,6.6,0,1.6,0.1,1,1.6,1.6,0,0.5 
