time,request,connect 
0,5.05,1.207 
10,4.052,1.121 
20,4.052,1.121 
30,4.052,1.121 
40,4.052,1.06 
50,4.052,1.06 
60,4.052,1.06 
70,4.052,1.06 
80,4.052,1.06 
90,4.052,1.06 
100,4.052,0.909 
110,4.052,0.909 
120,4.052,0.909 
130,4.052,0.909 
140,3.755,0.909 
150,3.755,0.909 
160,3.755,0.909 
170,3.755,0.909 
180,3.755,0.909 
190,3.755,0.865 
200,3.755,0.865 
210,3.755,0.865 
220,3.755,0.865 
230,3.755,0.865 
240,3.753,0.794 
250,3.596,0.794 
260,3.596,0.794 
270,3.596,0.794 
280,3.596,0.794 
290,3.596,0.794 
300,3.596,0.776 
310,0.634,0.776 
320,0.63,0.776 
330,0.63,0.776 
340,0.63,0.776 
350,0.63,0.776 
360,0.63,0.776 
368,0.63,0.776 
