time,users,connected 
0,20,18 
10,29,7 
20,29,-21 
30,29,-2 
40,29,-2 
50,31,31 
60,54,13 
70,54,-28 
80,54,-14 
90,54,-2 
100,59,57 
110,95,28 
120,95,-54 
130,95,-26 
140,95,-4 
150,95,71 
160,213,140 
170,213,-113 
180,213,-81 
190,213,-16 
200,213,126 
210,379,250 
220,398,-179 
230,398,-166 
240,398,-29 
250,398,-3 
260,398,197 
270,783,565 
280,808,-328 
290,808,-349 
300,808,-82 
310,808,-4 
320,1075,1028 
330,1782,684 
340,1782,-509 
350,1782,-1009 
360,1782,-178 
370,1782,-13 
380,1782,-2 
387,1782,-1 
