time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Post_New_Book,tr_Reply_To_Conversation 
0,5.183,,20.709,,,9.724,,,17.946,17.864,,,18.374,27.689,,16.783,286.197,,86.818,,23.718,92.055,120.126,, 
10,5.183,24.273,13.014,64.239,8.803,8.373,10.136,26.896,17.008,9.894,7.847,33.835,14.859,15.369,12.397,14.92,286.197,126.533,15.45,13.559,23.718,66.816,71.444,10.878,41.053 
20,5.183,24.273,12.876,26.052,8.803,8.373,10.136,26.896,16.77,9.894,7.829,29.317,14.859,15.369,12.397,14.92,286.197,126.533,13.588,12.823,23.718,66.816,71.444,10.878,41.053 
30,5.183,24.273,12.876,26.052,8.803,8.373,10.136,26.896,16.77,9.894,7.829,23.428,14.859,15.083,12.397,14.92,286.197,126.533,13.588,12.823,23.718,66.462,71.444,10.878,41.053 
40,5.183,23.809,12.876,26.052,8.803,8.373,10.136,26.896,16.77,9.894,7.829,23.428,14.859,15.083,12.397,14.109,286.197,126.533,13.588,12.823,23.718,66.462,71.444,10.878,41.053 
50,5.019,23.809,12.876,26.052,8.521,8.373,9.593,26.203,16.77,9.894,7.829,23.428,14.001,15.083,12.397,13.695,286.197,126.533,13.588,12.823,23.718,66.462,71.444,10.492,41.053 
60,4.696,23.809,12.401,24.533,7.243,8.373,9.365,25.308,16.7,9.894,5.6,22.381,14.001,13.916,12.397,13.695,286.197,125.654,13.588,12.823,23.718,64.919,71.263,10.4,36.408 
70,4.696,23.809,12.401,24.533,7.243,8.373,8.292,25.308,16.7,9.894,5.6,22.361,14.001,13.739,12.397,13.695,286.197,124.682,13.588,12.627,23.718,64.919,71.263,10.4,36.252 
80,4.696,23.809,12.401,24.533,7.243,8.373,8.292,25.308,16.7,9.894,5.6,22.361,14.001,13.739,12.397,13.695,286.197,124.682,13.588,12.627,23.718,64.919,71.263,10.4,36.252 
90,4.696,23.809,12.401,24.533,7.243,8.373,8.292,25.308,16.7,9.894,5.6,22.361,14.001,13.739,12.397,13.695,286.197,124.682,13.588,12.627,23.718,64.919,71.263,10.4,36.252 
100,4.402,23.809,12.401,24.533,7.243,8.373,8.292,25.308,16.662,9.894,5.6,22.361,14.001,13.739,12.397,13.695,173.838,124.682,13.588,12.627,23.718,64.919,71.263,10.264,36.252 
110,4.402,23.809,11.964,24.533,7.243,8.373,8.132,25.308,16.662,9.69,5.6,22.361,13.169,13.476,12.397,13.541,173.838,124.682,13.435,12.627,23.718,64.396,70.691,10.264,36.252 
120,4.402,23.195,11.51,24.533,6.776,8.347,8.132,25.308,16.529,9.69,4.925,21.549,13.169,13.476,12.397,13.541,173.838,124.425,13.056,12.401,23.718,64.396,70.691,10.202,35.919 
130,4.402,22.793,11.51,24.063,6.776,8.347,8.132,25.066,16.529,9.69,4.925,21.549,13.169,13.265,12.397,13.541,173.838,124.425,13.056,12.401,23.718,64.396,70.691,10.202,34.991 
140,4.402,22.793,11.51,24.063,6.776,8.347,8.132,25.066,16.529,9.69,4.925,21.549,13.169,13.265,12.397,13.541,173.838,124.425,13.056,12.401,23.718,64.396,70.691,10.202,34.991 
150,4.402,22.793,11.51,24.063,6.776,8.347,8.132,25.066,16.529,9.69,4.925,21.549,13.169,13.265,12.397,13.332,173.838,124.425,13.056,12.401,23.718,64.396,70.691,10.202,34.991 
160,4.374,22.793,11.51,24.063,6.776,7.841,8.132,25.02,16.076,9.69,4.664,21.549,13.169,12.53,12.397,13.271,173.838,124.425,13.056,12.401,23.718,64.236,69.645,10.202,34.991 
170,4.374,22.793,11.51,24.063,6.776,7.8,8.132,25.02,16.076,9.69,4.664,21.549,13.169,12.53,12.397,13.271,173.838,124.425,12.509,11.981,23.718,64.126,69.549,10.072,34.991 
180,4.374,22.793,11.51,24.063,6.776,7.8,8.132,24.944,16.076,9.69,4.664,21.447,13.169,12.53,12.397,13.271,173.838,124.244,12.509,11.944,23.718,64.126,69.473,10.072,34.991 
190,4.374,22.793,11.51,24.063,6.776,7.8,8.132,24.752,16.076,9.69,4.664,21.447,13.169,12.53,12.397,13.271,173.838,124.244,12.509,11.944,23.718,63.564,69.473,10.072,34.991 
200,4.374,22.793,11.51,24.063,6.776,7.8,8.132,24.752,16.076,9.69,4.664,21.447,13.169,12.53,12.397,13.271,173.838,124.244,12.509,11.944,23.718,63.564,69.473,10.072,34.991 
210,4.354,22.793,11.51,24.063,6.776,7.8,8.132,24.752,16.076,9.69,4.664,21.447,13.169,12.53,12.397,13.125,147.587,124.244,12.509,11.944,23.718,63.564,69.473,10.072,34.991 
