time,freemem@tsung_controller@ip-172-31-31-91 
0,375575.60546875 
10,375570.54296875 
20,375570.31640625 
30,375570.2734375 
40,375572.2890625 
50,375572.53125 
60,375559.23046875 
70,375557.4140625 
80,375558.6640625 
90,375558.78515625 
100,375559.68359375 
110,375552.37109375 
120,375517.45703125 
130,375518.61328125 
140,375542.88671875 
150,375545.83984375 
160,375541.13671875 
170,375474.6015625 
180,375458.015625 
190,375489.75 
200,375501.0703125 
210,375503.7734375 
220,375370.27734375 
230,375344.265625 
240,375416.4609375 
250,375460.4921875 
260,375471.68359375 
270,375341.0859375 
280,375112.41015625 
290,375142.1796875 
300,375366.515625 
310,375403.08203125 
320,375408.00390625 
330,375423.22265625 
340,375247.28125 
350,374876.11328125 
360,374629.66796875 
370,374792.39453125 
380,375256.8515625 
390,375305.2734375 
398,375307.609375 
