time,request,connect 
0,5.877,0.715 
10,5.877,0.715 
20,5.877,0.715 
30,5.877,0.715 
40,5.877,0.637 
50,5.371,0.637 
60,5.371,0.637 
70,5.371,0.637 
80,5.371,0.637 
90,5.154,0.62 
100,5.154,0.613 
110,5.154,0.613 
120,5.154,0.613 
130,4.676,0.613 
140,4.676,0.61 
150,4.676,0.61 
160,4.676,0.61 
170,4.676,0.61 
180,4.583,0.603 
190,4.583,0.587 
200,4.583,0.587 
210,4.583,0.587 
220,4.583,0.587 
230,4.153,0.566 
240,4.153,0.566 
250,4.153,0.566 
260,4.153,0.566 
270,4.153,0.566 
280,4.153,0.566 
282,4.153,0.566 
