time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,4.585,,,,7.493,,,,12.497,,,,11.646,,,11.279,1047.855,,,,,,,,14.553 
10,3.673,,12.186,,6.265,7.124,16.995,33.214,10.701,8.649,7.819,,10.577,9.997,14.874,10.618,571.654,,8.294,,18.807,63.547,62.578,,6.692 
20,3.673,15.803,7.93,18.164,6.265,7.124,16.995,20.426,10.701,8.492,7.819,15.743,10.577,9.45,8.859,10.618,571.654,127.177,8.207,9.793,18.807,56.845,61.548,55.178,6.593 
30,3.673,15.025,7.93,18.164,6.265,7.124,7.627,20.288,10.701,8.492,7.42,15.743,10.577,9.45,8.859,10.618,571.654,124.453,8.207,9.618,18.807,55.282,61.548,34.436,6.593 
40,3.673,14.887,7.93,18.164,6.265,7.124,7.627,20.288,10.701,8.492,7.42,15.743,10.577,9.45,8.859,9.662,571.654,124.453,8.207,9.618,18.807,55.282,61.548,34.436,6.593 
50,3.649,14.887,7.93,17.491,6.265,5.158,7.627,20.288,10.398,8.492,7.42,15.743,10.577,8.988,8.859,8.566,306.169,124.453,8.207,9.618,18.807,55.282,61.548,34.436,6.339 
60,3.403,14.887,7.259,17.491,6.265,5.158,7.627,20.288,10.355,7.103,5.238,15.743,10.577,8.667,8.859,8.566,306.169,124.453,7.808,9.618,18.807,55.282,60.834,27.151,5.99 
70,3.403,14.887,7.259,17.491,6.265,5.158,7.627,20.288,10.355,7.103,5.238,15.743,10.577,8.461,8.859,8.566,306.169,124.29,7.808,9.443,18.807,55.282,60.834,27.151,5.99 
80,3.403,14.887,7.259,17.491,6.265,5.158,7.627,20.288,10.355,7.103,5.238,15.743,9.564,8.461,8.859,8.566,306.169,124.29,7.808,9.443,18.807,55.282,60.834,24.393,5.99 
90,3.403,14.887,7.259,17.491,6.265,5.158,7.321,20.288,10.355,7.103,5.238,15.743,8.323,8.461,8.859,8.566,239.458,124.29,7.808,9.443,18.807,55.282,60.834,24.393,5.99 
100,3.286,14.887,7.259,16.313,5.577,5.158,6.92,19.261,10.355,7.103,5.238,15.743,8.323,7.118,8.859,8.566,239.458,124.29,7.808,9.443,18.807,55.282,60.834,24.393,5.99 
110,3.286,14.289,7.087,16.313,5.464,5.158,6.92,19.261,10.355,7.103,5.238,14.344,8.323,7.118,8.859,8.566,239.458,124.29,7.808,9.242,18.807,55.282,60.834,21.408,5.99 
120,3.286,14.289,7.087,16.313,5.464,5.158,6.92,17.538,10.355,7.103,5.238,14.344,8.323,7.118,8.859,8.566,239.458,124.227,7.808,9.242,18.807,55.282,60.834,21.408,5.99 
130,3.286,14.289,7.087,16.313,5.464,5.158,6.92,17.538,10.355,7.103,5.238,14.344,8.323,7.118,8.859,8.566,239.458,124.227,7.808,9.242,18.807,55.282,60.834,21.408,5.99 
140,3.286,14.289,7.087,16.313,5.464,5.158,6.92,17.538,10.355,7.103,5.238,14.344,8.323,7.118,8.859,8.566,239.458,124.227,7.808,9.242,18.807,55.282,60.834,21.408,5.99 
150,3.286,14.289,7.087,16.313,5.464,5.158,6.92,17.538,10.355,7.103,5.238,14.344,8.323,7.118,8.859,8.566,239.458,124.227,7.808,9.242,18.807,55.282,60.834,21.408,5.99 
160,3.286,14.289,7.087,16.313,5.464,5.158,6.92,17.538,10.355,7.103,5.238,14.344,8.323,7.118,8.859,8.566,239.458,124.227,7.808,9.242,18.807,55.282,60.834,21.408,5.99 
170,3.286,14.256,7.087,16.313,5.464,5.158,6.275,17.538,10.355,7.103,5.238,14.198,8.323,7.118,8.859,8.566,239.458,124.047,7.808,8.957,18.807,54.608,60.834,21.408,5.99 
180,3.286,14.256,7.087,16.313,5.464,5.158,6.275,17.538,10.355,7.103,5.238,14.198,8.323,7.118,8.859,8.566,239.458,124.047,7.808,8.957,18.807,54.608,60.834,21.408,5.99 
190,3.286,14.256,7.087,16.313,5.464,5.158,6.275,17.538,10.355,7.103,5.238,14.198,8.323,7.118,8.859,8.566,239.458,124.047,7.808,8.957,18.807,54.608,60.834,21.408,5.99 
200,0.328,14.256,0.444,2.459,0.517,0.479,0.629,17.538,0.441,0.594,0.479,14.198,1.272,0.626,0.5,1.215,41.62,0.599,0.413,8.957,0.437,0.555,0.538,21.408,0.521 
210,0.32,0.427,0.444,0.725,0.465,0.479,0.575,0.494,0.409,0.551,0.479,0.544,1.272,0.475,0.5,1.215,41.62,0.431,0.413,0.506,0.437,0.491,0.538,0.537,0.517 
220,0.32,0.427,0.444,0.725,0.465,0.479,0.509,0.494,0.409,0.551,0.479,0.544,1.272,0.475,0.5,1.215,41.62,0.431,0.413,0.506,0.437,0.491,0.538,0.537,0.517 
230,0.32,0.427,0.444,0.725,0.465,0.479,0.509,0.494,0.409,0.551,0.479,0.544,1.272,0.475,0.5,1.215,41.62,0.431,0.413,0.506,0.437,0.491,0.538,0.537,0.517 
240,0.32,0.427,0.444,0.725,0.465,0.479,0.509,0.494,0.409,0.551,0.479,0.544,1.272,0.475,0.5,1.215,41.62,0.431,0.413,0.506,0.437,0.491,0.538,0.537,0.517 
250,0.32,0.427,0.444,0.725,0.465,0.479,0.509,0.494,0.409,0.551,0.479,0.544,1.129,0.475,0.5,1.04,41.62,0.431,0.413,0.506,0.437,0.491,0.538,0.537,0.517 
260,0.307,0.398,0.419,0.486,0.425,0.388,0.375,0.48,0.345,0.457,0.387,0.448,0.976,0.386,0.446,0.947,40.52,0.431,0.393,0.424,0.382,0.491,0.443,0.537,0.421 
270,0.301,0.372,0.404,0.486,0.425,0.388,0.375,0.37,0.345,0.442,0.387,0.448,0.976,0.386,0.444,0.947,40.52,0.431,0.392,0.415,0.382,0.438,0.443,0.44,0.421 
280,0.301,0.372,0.404,0.486,0.425,0.388,0.375,0.37,0.345,0.442,0.387,0.448,0.976,0.386,0.444,0.947,40.52,0.431,0.392,0.415,0.382,0.438,0.443,0.44,0.421 
290,0.301,0.372,0.404,0.486,0.425,0.388,0.375,0.37,0.345,0.442,0.387,0.448,0.976,0.386,0.444,0.947,40.52,0.431,0.392,0.415,0.382,0.438,0.443,0.44,0.421 
300,0.301,0.372,0.404,0.486,0.425,0.388,0.375,0.37,0.345,0.442,0.387,0.448,0.976,0.386,0.444,0.947,40.52,0.431,0.392,0.415,0.382,0.438,0.443,0.44,0.421 
310,0.301,0.372,0.404,0.486,0.425,0.388,0.375,0.37,0.345,0.442,0.387,0.448,0.976,0.386,0.444,0.947,40.52,0.431,0.392,0.415,0.382,0.438,0.443,0.44,0.421 
320,0.3,0.372,0.404,0.464,0.425,0.376,0.375,0.37,0.344,0.396,0.387,0.448,0.874,0.373,0.444,0.849,40.52,0.412,0.386,0.376,0.368,0.438,0.443,0.44,0.421 
330,0.295,0.353,0.375,0.407,0.388,0.376,0.355,0.37,0.34,0.396,0.38,0.435,0.862,0.372,0.413,0.814,40.52,0.395,0.383,0.372,0.368,0.43,0.443,0.39,0.405 
340,0.295,0.353,0.375,0.407,0.388,0.376,0.355,0.37,0.34,0.396,0.38,0.409,0.862,0.372,0.413,0.814,40.52,0.395,0.383,0.372,0.368,0.43,0.443,0.39,0.405 
350,0.295,0.353,0.375,0.407,0.388,0.376,0.355,0.37,0.34,0.396,0.38,0.409,0.862,0.372,0.413,0.814,40.52,0.395,0.383,0.372,0.368,0.43,0.443,0.39,0.405 
360,0.295,0.353,0.375,0.407,0.388,0.376,0.355,0.37,0.34,0.396,0.38,0.409,0.862,0.372,0.413,0.814,40.52,0.395,0.383,0.372,0.368,0.43,0.443,0.39,0.405 
370,0.295,0.353,0.375,0.407,0.388,0.376,0.355,0.37,0.34,0.396,0.38,0.409,0.862,0.372,0.413,0.814,40.52,0.395,0.383,0.372,0.368,0.43,0.443,0.39,0.405 
380,0.295,0.353,0.375,0.407,0.388,0.376,0.355,0.37,0.34,0.396,0.38,0.409,0.862,0.372,0.413,0.814,40.52,0.395,0.383,0.372,0.368,0.43,0.443,0.39,0.405 
382,0.295,0.353,0.375,0.407,0.388,0.376,0.355,0.37,0.34,0.396,0.38,0.409,0.862,0.372,0.413,0.814,40.52,0.395,0.383,0.372,0.368,0.43,0.443,0.39,0.405 
