time,request,connect 
0,143.961,10.65 
10,272.237,10.65 
20,272.237,10.65 
30,272.237,10.65 
40,425.695,10.65 
50,685.293,10.65 
60,685.293,10.65 
70,685.293,10.65 
80,685.293,10.65 
90,2879.647,10.65 
100,2879.647,10.65 
110,2879.647,10.65 
120,2879.647,10.65 
130,2879.647,10.65 
140,7180.927,21.131 
150,7180.927,21.131 
160,7180.927,21.131 
170,7180.927,21.131 
180,7180.927,21.131 
190,7180.927,21.131 
200,8096.083,21.131 
210,8096.083,21.131 
220,8096.083,21.131 
230,8096.083,21.131 
240,8096.083,21.131 
