time,session 
0,7567.437 
10,8035.939 
20,14371.409941176471 
30,21216.141 
40,5293.806 
50,10663.003388888892 
60,14973.549166666668 
70,23860.1409 
80,26783.63 
90,11725.135076923076 
100,15004.036213114752 
110,23661.16592307693 
120,31352.236333333334 
130,0 
140,12666.145 
150,21765.846272727278 
160,27122.237165562932 
170,32622.413632653053 
180,43865.45020000001 
190,10769.880666666666 
200,16688.363764705882 
210,22924.1894 
220,30500.846534188026 
230,38302.211979999985 
240,43994.99 
