time,200,400,404,502,422,302 
0,20,,,,,10 
10,98,,,,,63 
20,140,,,,,95 
30,153,,,,,100 
40,156,,,,,101 
50,158,,,,,102 
60,227,,,,,137 
70,374,,,,,253 
80,453,,,,,296 
90,474,,,,,301 
100,519,,,,,311 
110,738,,,,,474 
120,999,,,,,655 
130,1099,,,,,706 
140,1111,,,,,712 
150,1194,,,,,731 
160,1493,,,,,915 
170,1794,,,,,1170 
180,2243,,,,,1450 
190,2392,,,,,1521 
200,2405,,,,,1525 
210,2536,,,,,1549 
220,2892,1,,163,1,1726 
230,3179,16,,841,84,1914 
240,3613,40,7,1039,146,2201 
250,4024,54,27,1039,165,2452 
260,4108,57,33,1039,166,2496 
267,4112,57,33,1039,166,2496 
