time,session 
10,2040.8900310352242 
20,3645.129065345975 
30,2461.393032113124 
40,647.8509999999987 
50,0 
60,0.0 
70,3188.206055934852 
80,3860.4897983036153 
90,5260.2862202908955 
100,4188.76591066608 
110,2019.7322146921722 
120,3140.589059457095 
130,4963.70577232184 
140,2875.005422739446 
150,0.0 
160,851.5349949705859 
170,2108.3635733728306 
180,3368.8699969943023 
190,3860.3079712910567 
200,4727.684749870229 
210,1510.1800000000003 
220,0 
230,3601.9581047243473 
240,4403.645506529009 
250,4875.761464508732 
260,4032.121757558511 
267,4629.593777818661 
