time,tr_Post_Register,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Register,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Post_New_Book,tr_Reply_To_Conversation 
10,0.2,12.1,0.1,0.3,0,0.4,0.2,0.1,0.2,0.2,2,0.3,1.5,0.1,0.3,0.6,0,0.7,1.6,0.7,0.3,0.3,1,0.7,0.4,0.1 
20,0,5.5,0.2,0.5,0.4,0.2,0,0.1,0.2,0.4,0.5,0.5,0,0.3,0,0.1,0.4,0,0.1,0,0.4,0.4,0.4,0,0.4,0.2 
30,0,2.6,0.2,0,0,0,0,0,0,0.2,0.1,0,0.6,0.1,0,0,0,1.2,0.2,0,0.1,0,0,0,0,0.2 
40,0.4,14.5,0,0.4,0,0.6,0.5,0,0,0.4,2.5,0.4,2.7,0,0.3,0,0,2,2.5,0.3,0.1,0.5,0.2,0.3,0.4,0 
50,0.4,15,0.1,0.7,0.3,0.4,0.3,0.7,0.3,0.5,3,0.7,1.1,0.1,0.1,0.7,0.3,0.1,1.6,0.4,0.8,0.6,1.2,0.4,0.6,0.1 
60,0,4.2,0.3,0.3,0.1,0,0,0.1,0.1,0.1,0.6,0.3,0.3,0.3,0,0.2,0.1,0,0.3,0.2,0.3,0.4,0.3,0.2,0,0.3 
70,0,0.7,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0.3,0,0.1,0,0,0 
80,0.2,24.2,0,0.2,0.1,0.3,0.4,0,0.3,0,3.1,0.2,5.5,0,0.9,0.4,0.1,5.1,3.9,1,0,0.7,0.8,1,0,0 
90,1,50.1,0.4,2.2,0.7,1.5,0.9,0.6,0.7,0.8,8.8,2.2,5.4,0.6,0.4,1.9,0.8,2,6.6,2.4,1.2,2,3.6,2.4,1.3,0.4 
100,0.1,17.5,0.5,0.8,0.4,0.7,0,0.7,0.2,1.5,2.3,0.8,0.9,0.4,0,1.2,0.3,0,1.1,0.2,1.6,0.5,2.7,0.2,1.1,0.5 
