time,users_count,finish_users_count 
0,21,0 
10,30,13 
20,30,26 
30,44,30 
40,74,36 
50,76,61 
60,76,72 
70,76,76 
80,158,79 
90,196,120 
100,196,182 
110,196,193 
120,258,196 
130,401,234 
140,425,337 
150,425,405 
160,425,423 
170,425,424 
180,535,425 
190,851,482 
200,892,713 
210,892,870 
220,1095,892 
230,1682,1015 
240,1777,1440 
250,1777,1726 
260,1777,1773 
270,1777,1777 
280,2725,1810 
290,3566,2356 
300,3566,3236 
310,3566,3528 
320,3566,3562 
330,3566,3566 
340,3566,3566 
350,4413,3567 
360,6888,3978 
370,7279,5828 
380,7279,7065 
390,7279,7257 
400,7279,7277 
410,7279,7278 
420,7279,7279 
430,11368,7369 
440,14786,7915 
450,14786,10275 
460,14786,14267 
470,14786,14741 
480,14786,14784 
490,14786,14786 
497,14786,14786 
