time,session 
0,5910.2495 
10,10409.318125 
20,16043.837437500002 
30,23518.436999999998 
40,0 
50,10977.634227272725 
60,16474.906047619046 
70,22313.8188125 
80,29926.337 
90,10389.715333333334 
100,12438.657576923077 
110,18895.50373913043 
120,27252.422846153844 
130,5321.695 
140,10867.933169491522 
150,15523.943468253969 
160,21817.55963414635 
170,29793.610599999996 
180,38334.68 
190,8425.072475000003 
200,13114.95139320388 
210,17981.70294512197 
220,26770.697030303025 
230,36880.39433333333 
240,5765.509545454544 
250,10871.382706959701 
260,15378.843836956528 
270,21934.06613017754 
280,31985.949702702706 
290,0 
300,54812.661 
310,8624.361436781606 
320,12984.838755474451 
330,18315.853631892685 
340,26001.979900662252 
350,36222.60847058824 
360,0 
370,0 
380,6194.773954545454 
390,10930.53166966069 
400,15409.018011068087 
410,22341.385251381183 
420,32031.93964864866 
430,42107.78406666667 
440,49280.1835 
450,3016.084 
460,8753.960333333329 
470,14068.657233993032 
480,20582.353382667934 
490,28474.765730876657 
500,38499.717278080585 
510,48355.055750809035 
520,58564.614245614044 
530,68014.5692 
540,25438.606 
550,8692.993643298973 
560,16383.94419976006 
570,23658.23218664322 
580,30525.175188486577 
590,39047.818742948635 
600,49643.74321042465 
610,58612.87837988827 
620,72601.98975939858 
630,79533.15487179486 
640,88450.43687499997 
647,101069.9645 
