time,users_count,finish_users_count 
0,2.2,0.2 
10,0.8,0.8 
20,0,1.6 
30,0,0.4 
40,3.4,0 
50,2.6,2.2 
60,0,2.1 
70,0,1.6 
80,3.1,0.1 
90,8.2,0.9 
100,0.7,5.2 
110,0,4.6 
120,0,1.3 
130,14,0.1 
140,9.8,5.9 
150,0,12.6 
160,0,4.1 
170,0,1 
180,12.4,0.1 
190,28.5,4 
200,3.7,20.6 
210,0,16.4 
220,0,3.3 
230,0,0.3 
240,56.3,1.1 
250,38.8,27.3 
260,0,46 
270,0,16.9 
280,0,3.7 
290,0,0 
300,44.9,0.1 
310,121.1,17.4 
320,17.5,82.2 
330,0,67.1 
340,0,15.1 
350,0,1.7 
360,0,0 
370,0,0 
380,217.7,4.4 
390,152.8,100.2 
400,0,180.7 
410,0,72.4 
420,0,11.1 
430,0,1.5 
440,0,0.2 
450,182.3,0.1 
460,496,60 
470,67.5,171.8 
480,0,205.4 
490,0,179.1 
500,0,91.7 
510,0,30.9 
520,0,5.7 
530,0,1 
540,388.6,0.3 
550,709.6,48.5 
560,68.9,166.7 
570,0,284.5 
580,0,323.1 
590,0,156 
600,0,103.6 
610,0,35.8 
620,0,26.6 
630,0,19.5 
640,0,2.4 
647,0,0.2 
