time,sentpackets@tsung_controller@ip-172-31-17-231 
10,392 
20,392 
30,392 
40,22 
50,22 
60,22 
70,22 
80,22 
90,22 
100,22 
110,22 
120,22 
130,22 
140,22 
150,22 
160,22 
170,22 
180,22 
190,22 
200,22 
210,22 
220,22 
230,22 
240,14 
250,14 
260,14 
270,14 
280,14 
290,14 
300,3 
310,3 
320,3 
330,3 
340,3 
350,3 
360,3 
370,1 
380,0 
390,0 
400,0 
410,0 
420,0 
430,0 
440,0 
450,0 
460,0 
470,0 
480,0 
490,0 
500,0 
510,0 
520,0 
530,0 
540,0 
550,0 
560,0 
570,0 
580,0 
590,0 
600,0 
610,0 
620,0 
630,0 
640,0 
647,0 
