time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,8.204,,,,,,,,71.768,,,,56.979,,,39.685,1333.567,,75.404,,102.241,125.318,169.19,, 
10,7.604,,18.175,115.918,22.847,14.334,28.63,33.019,18.875,71.121,,133.489,19.258,17.292,14.096,15.065,1023.23,,62.322,88.548,38.893,108.387,79.504,,17.285 
20,7.604,76.875,14.431,62.782,22.847,14.334,28.63,33.019,18.875,40.758,53.076,27.764,19.258,17.292,14.096,15.065,1023.23,170.886,22.155,54.29,38.893,72.715,79.504,85.691,12.234 
30,7.604,72.028,14.431,62.782,22.847,14.334,28.63,33.019,18.875,40.758,53.076,27.764,19.258,17.292,14.096,15.065,1023.23,170.886,22.155,21.984,38.893,72.715,79.504,85.691,12.234 
40,7.377,72.028,14.431,62.782,11.772,12.325,28.63,33.019,17.658,21.978,11.607,27.764,19.258,17.292,14.096,15.065,421.942,170.886,22.155,21.984,38.893,72.715,79.504,85.691,12.234 
50,6.305,72.028,14.431,62.782,10.539,12.257,26.125,24.997,17.658,13.817,11.607,27.764,16.988,17.292,13.959,15.065,339.464,124.436,15.721,17.514,38.893,72.188,73.882,85.691,12.157 
60,6.305,60.339,14.431,25.524,10.539,12.257,12.914,24.997,16.257,13.542,11.607,25.687,16.988,17.292,13.959,15.065,339.464,124.145,15.721,17.514,34.121,66.732,73.882,52.277,12.157 
70,6.305,60.339,14.431,25.524,10.539,12.257,12.914,24.997,16.257,13.542,11.607,25.687,16.988,17.292,13.959,15.065,339.464,124.145,15.721,17.514,28.696,66.732,73.882,52.277,12.157 
80,5.864,60.339,14.431,25.524,10.539,12.257,12.914,24.997,16.257,13.542,9.258,25.687,16.988,17.292,13.959,15.065,238.613,122.599,15.721,17.514,28.696,66.732,73.882,52.277,12.157 
90,5.864,60.339,9.512,25.524,9.832,10.321,12.914,24.997,14.301,9.354,9.258,25.687,14.161,13.064,13.959,12.948,193.832,120.817,12.613,14.964,24.779,64.214,67.841,42.35,12.157 
