time,users,connected 
0,21,21 
10,27,-2 
20,27,-13 
30,27,-6 
40,27,23 
50,47,18 
60,47,-28 
70,47,-13 
80,58,54 
90,105,37 
100,105,-60 
110,105,-29 
120,105,54 
130,201,142 
140,212,-88 
150,212,-79 
160,212,-26 
170,212,109 
180,406,290 
190,425,-185 
200,425,-180 
210,425,-32 
220,425,226 
230,764,530 
240,804,-328 
250,804,-343 
260,804,-83 
270,804,-9 
280,1020,989 
290,1573,312 
300,1573,-847 
310,1573,-390 
320,1573,-57 
330,1573,-7 
340,1573,0 
350,1573,798 
360,3001,2163 
370,3186,-1262 
380,3186,-1377 
390,3186,-281 
400,3186,-38 
410,3186,-3 
420,3186,0 
430,4141,4087 
440,6529,1474 
450,6529,-3390 
460,6529,-1797 
470,6529,-332 
480,6529,-36 
490,6529,-6 
497,6529,0 
