time,freemem@tsung_controller@ip-172-31-17-231 
0,375598.1484375 
10,375592.7109375 
20,375585.05859375 
30,375584.66015625 
40,375588.29296875 
50,375583.94140625 
60,375578.53125 
70,375574.1328125 
80,375574.73046875 
90,375574.4296875 
100,375543.7109375 
110,375541.0625 
120,375548.02734375 
130,375554.20703125 
140,375506.85546875 
150,375488.77734375 
160,375506.0078125 
170,375528.72265625 
180,375531.82421875 
190,375410.26953125 
200,375374.14453125 
210,375439.08984375 
220,375488.71484375 
230,375486.51171875 
240,375264.38671875 
250,375207.3828125 
260,375318.46484375 
270,375410.0234375 
280,375431.515625 
290,375210.89453125 
300,374895.66015625 
310,374969.8125 
320,375219.47265625 
330,375294.140625 
340,375324.6171875 
350,375326.41015625 
360,375228.6328125 
370,374391.65625 
380,374218.2421875 
390,374762.85546875 
400,375072.890625 
410,375149.546875 
420,375162.8359375 
430,375163.515625 
440,374132.6875 
450,372616.43359375 
460,372883.34765625 
470,374340.953125 
480,374771.8515625 
490,374860.5234375 
497,374874.05078125 
