time,sentpackets@tsung_controller@ip-172-31-17-231 
10,282 
20,547 
30,547 
40,547 
50,547 
60,843 
70,843 
80,843 
90,981 
100,1981 
110,1981 
120,1981 
130,1981 
140,3319 
150,4214 
160,4214 
170,4214 
180,4214 
190,7504 
200,7891 
210,7891 
220,7891 
230,7891 
240,15115 
250,17297 
260,17297 
270,17297 
280,17297 
290,17297 
300,42226 
310,42226 
320,42226 
330,42226 
340,42226 
350,42226 
360,42226 
370,73398 
380,91598 
390,91598 
400,91598 
410,91598 
420,91598 
430,91598 
440,91598 
450,215638 
460,215638 
470,215638 
480,215638 
490,215638 
497,215638 
