time,session 
0,0.1 
10,0.6 
20,1.7 
30,0.6 
40,0 
50,1.6 
60,3 
70,0.9 
80,0.1 
90,1.2 
100,5 
110,4.2 
120,0.6 
130,0.1 
140,1.7 
150,11.9 
160,7.5 
170,1 
180,0.5 
190,11.8 
200,25.6 
210,8.9 
220,1.2 
230,0.2 
240,9.1 
250,41.4 
260,34.3 
270,9.7 
280,0.6 
290,0.1 
300,1.6 
310,48.9 
320,88.1 
330,39.1 
340,5 
350,1 
360,0.1 
370,0 
380,32.5 
390,159.3 
400,135.4 
410,32.7 
420,4.6 
430,0.5 
440,0 
450,6.1 
460,183.2 
470,361.8 
480,160.8 
490,25.2 
500,2.6 
510,0.3 
520,0 
530,85.2 
540,251.5 
550,463.8 
560,340.5 
570,50.2 
580,2.9 
590,1 
592,0 
