time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,1.004,,,,37.541,2.08,28.442,,1.203,,9.276,,1.999,,,2.295,112.186,2.273,,,,,,, 
10,0.553,,1.387,26.679,1.32,2.08,2.127,17.908,1.166,1.331,9.276,46.198,1.999,0.808,1073.883,1.654,112.186,2.273,1.282,141.44,1.298,1.609,1.582,,1.634 
20,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,8.836,6.942,1.999,0.808,2.368,1.654,112.186,2.273,1.282,112.463,1.298,1.609,1.582,2.011,1.273 
30,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,8.836,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,108.419,1.298,1.609,1.582,2.011,1.273 
40,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,8.836,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,108.419,1.298,1.609,1.582,2.011,1.273 
50,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.817,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,21.21,1.298,1.609,1.582,2.011,1.273 
60,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.817,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,11.13,1.298,1.609,1.582,2.011,1.273 
70,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.817,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,11.13,1.298,1.609,1.582,2.011,1.273 
80,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.817,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,11.13,1.298,1.609,1.582,2.011,1.273 
90,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.817,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,11.13,1.298,1.609,1.582,2.011,1.273 
100,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.817,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,11.13,1.298,1.609,1.582,2.011,1.273 
110,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.817,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,11.13,1.298,1.609,1.582,2.011,1.273 
120,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.817,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,11.13,1.298,1.609,1.582,2.011,1.273 
130,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.817,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,11.13,1.298,1.609,1.582,2.011,1.273 
140,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.817,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,11.023,1.298,1.609,1.582,2.011,1.273 
150,0.553,1.091,1.147,5.021,1.292,2.08,2.127,17.908,1.166,1.331,6.134,6.561,1.999,0.808,2.368,1.654,112.186,2.273,1.282,10.345,1.298,1.609,1.582,2.011,1.273 
