time,recvpackets@tsung_controller@ip-172-31-17-231 
10,208 
20,208 
30,208 
40,61 
50,61 
60,61 
70,61 
80,61 
90,61 
100,61 
110,61 
120,61 
130,61 
140,61 
150,61 
160,61 
170,61 
180,61 
190,61 
200,61 
210,61 
220,61 
230,61 
240,61 
250,61 
260,61 
270,61 
280,61 
290,39 
300,10 
310,10 
320,10 
330,10 
340,10 
350,10 
360,10 
370,10 
380,10 
390,10 
400,10 
410,10 
420,10 
430,10 
440,10 
450,1 
460,1 
470,1 
480,1 
490,1 
500,1 
510,1 
520,1 
530,1 
540,1 
550,1 
560,1 
570,1 
580,1 
590,1 
592,1 
