time,users_count,finish_users_count 
0,25,0 
10,30,10 
20,30,26 
30,30,30 
40,53,30 
50,83,39 
60,83,71 
70,83,81 
80,83,82 
90,104,83 
100,193,96 
110,203,148 
120,203,190 
130,203,200 
140,321,205 
150,432,254 
160,432,359 
170,432,421 
180,432,431 
190,527,432 
200,877,468 
210,912,671 
220,912,869 
230,912,908 
240,912,912 
250,1382,918 
260,1827,1104 
270,1827,1576 
280,1827,1782 
290,1827,1824 
300,2176,1827 
310,3456,1844 
320,3723,2073 
330,3723,2888 
340,3723,3503 
350,3723,3702 
360,3723,3723 
