time,freemem@tsung_controller@ip-172-31-29-186 
0,375598.9375 
10,375598.9375 
20,375598.9375 
30,375598.9375 
40,375598.9375 
50,375598.9375 
60,375598.9375 
70,375598.9375 
80,375598.9375 
90,375598.9375 
100,375598.9375 
110,375598.9375 
120,375598.9375 
130,375598.9375 
140,375598.9375 
150,375598.9375 
160,375598.9375 
170,375598.9375 
180,375598.9375 
190,375598.9375 
200,375598.9375 
210,375598.9375 
220,375598.9375 
230,375598.9375 
240,375598.9375 
250,375598.9375 
260,375598.9375 
270,375598.9375 
280,375598.9375 
290,375598.9375 
300,375598.9375 
310,375598.9375 
320,375598.9375 
330,375598.9375 
340,375598.9375 
350,375598.9375 
360,375598.9375 
