time,sentpackets@tsung_controller@ip-172-31-46-69 
10,477 
20,576.0 
30,201.0 
40,73.0 
50,778.0 
60,1286.0 
70,504.0 
80,65.0 
90,22.0 
100,495.0 
110,2402.0 
120,1674.0 
130,486.0 
140,93.0 
150,5.0 
160,921.0 
170,5640.0 
180,4038.0 
190,1529.0 
200,208.0 
210,31.0 
220,7830.0 
230,13261.0 
240,7335.0 
250,1162.0 
260,117.0 
270,28.0 
280,16663.0 
290,14163.0 
300,24676.0 
310,14822.0 
320,2202.0 
330,1570.0 
340,266.0 
350,73.0 
360,13524.0 
370,14113.0 
380,10316.0 
390,21962.0 
400,34909.0 
410,16948.0 
420,21499.0 
430,26064.0 
440,2580.0 
450,208.0 
460,82.0 
470,201.0 
480,244.0 
490,779.0 
500,619.0 
510,78.0 
517,33.0 
