time,request,connect 
0,209.604,26.208 
10,241.93,26.208 
20,241.93,26.208 
30,241.93,26.208 
40,241.93,26.208 
50,252.342,26.208 
60,280.703,26.208 
70,280.703,26.208 
80,280.703,26.208 
90,309.706,26.208 
100,429.407,26.208 
110,464.412,26.208 
120,464.412,26.208 
130,485.659,26.208 
140,931.48,26.208 
150,1040.931,26.208 
160,1106.315,26.208 
170,1106.315,26.208 
180,1106.315,27.158 
190,1772.811,27.158 
200,2102.096,27.158 
210,2102.096,27.158 
220,2102.096,27.158 
230,2102.096,27.158 
240,2102.096,27.158 
250,8388.38,27.158 
260,12474.582,27.158 
270,12474.582,27.158 
280,12474.582,27.158 
290,12474.582,27.158 
291,12474.582,27.158 
