time,session 
10,12223.210555555554 
20,14889.481615384615 
30,20054.875 
40,31711.68 
50,9371.194363636361 
60,13146.478066666665 
70,19392.542750000008 
80,26773.244333333336 
90,8530.487000000001 
100,14018.213051282051 
110,18914.14581578947 
120,26827.073624999997 
130,5984.608666666667 
140,11192.675406779657 
150,15756.978388429752 
160,21609.12463829787 
170,30928.363833333333 
180,12990.6802 
190,10783.356320610696 
200,15757.63173191489 
210,22465.83110204082 
220,30326.14536363636 
230,41727.761 
240,6216.061833333333 
250,11435.441467889901 
260,16152.523496674045 
270,23681.40043497758 
280,33130.2060350877 
290,42790.922399999996 
291,0 
