time,size_sent,size_rcv 
0,13.88515625,230.9453125 
10,47.7375,710.9984375 
20,31.8765625,559.4203125 
30,5.36640625,90.70078125 
40,11.94921875,261.1984375 
50,100.77109375,1749.6 
60,83.8546875,1822.0625 
70,19.24140625,452.20234375 
80,17.8515625,380.4015625 
90,142.48984375,2994.03359375 
100,140.7375,3603.584375 
110,52.3078125,1148.15625 
120,5.9078125,86.93671875 
130,139.6109375,3333.04453125 
140,416.54921875,9353.25625 
150,282.8765625,7574.45390625 
160,50.12734375,710.56953125 
170,5.715625,56.9578125 
180,290.10625,9132.77421875 
190,893.23203125,24541.00703125 
200,494.15859375,15889.4171875 
210,106.4796875,2080.7140625 
220,6.91328125,22.9359375 
230,1.76484375,38.23203125 
240,581.34609375,26823.4703125 
250,1669.615625,70545.31484375 
260,1037.184375,45687.43046875 
270,282.98984375,10601.95390625 
280,61.44453125,472.23125 
290,6.00859375,118.4125 
291,0,0 
