time,session 
10,12100.8 
20,8073.518 
30,8073.518 
40,8073.518 
50,7424.36 
60,7424.36 
70,7424.36 
80,7424.36 
90,7096.136 
100,4260.475 
110,4260.475 
120,4260.475 
130,4260.475 
140,4260.475 
150,4260.475 
160,4260.475 
170,4260.475 
180,4260.475 
190,4260.475 
200,4041.405 
210,4041.405 
220,4041.405 
230,4041.405 
240,4041.405 
250,4041.405 
260,4041.405 
270,4041.405 
280,4041.405 
290,4041.405 
300,4041.405 
310,4041.405 
320,4041.405 
330,4041.405 
340,4041.405 
350,4041.405 
360,4041.405 
370,4041.405 
380,4041.405 
390,4041.405 
400,4041.405 
402,4041.405 
