time,users_count,finish_users_count 
0,13,0 
10,27,3 
20,27,20 
30,27,27 
40,55,27 
50,72,38 
60,72,61 
70,72,69 
80,72,72 
90,142,73 
100,192,98 
110,192,175 
120,192,188 
130,238,192 
140,385,211 
150,418,312 
160,418,393 
170,418,414 
180,418,417 
190,534,418 
200,844,456 
210,894,622 
220,894,812 
230,894,866 
240,894,888 
250,894,893 
260,1396,895 
270,1833,907 
280,1833,947 
290,1833,1054 
300,1833,1238 
310,1833,1450 
320,1833,1636 
330,1833,1719 
340,1833,1748 
350,1833,1760 
360,1833,1768 
370,1833,1792 
380,1833,1814 
390,1833,1827 
400,1833,1833 
402,1833,1833 
