time,session 
10,1332.1951506887747 
20,4839.894818349392 
30,4164.373587049067 
40,1197.2867368520397 
50,3214.153406048902 
60,4339.462253613682 
70,4485.479544318219 
80,1321.5911815427476 
90,3677.2367282709397 
100,3964.336585385741 
110,3038.124351433982 
120,2339.181208492515 
130,1693.5636696506272 
140,3173.9024440825547 
150,4090.1860335733063 
160,3954.7271303398156 
170,212.5645000000004 
180,1698.7439317113426 
190,3148.688351883451 
200,4248.441692175956 
210,4155.484244085945 
220,2163.8321104859824 
230,1642.1240792139909 
240,3449.0415718460276 
250,4138.090905407741 
260,4134.199745681049 
270,2995.7290278442483 
280,4778.976480037872 
284,0.0 
