time,freemem@tsung_controller@ip-172-31-46-69 
0,375589.82421875 
10,375583.34765625 
20,375574.7578125 
30,375574.7578125 
40,375574.7578125 
50,375574.7578125 
60,375555.68359375 
70,375555.68359375 
80,375555.68359375 
90,375554.54296875 
100,375533.5703125 
110,375533.5703125 
120,375533.5703125 
130,375533.5703125 
140,375481.62109375 
150,375476.18359375 
160,375476.18359375 
170,375476.18359375 
180,375476.18359375 
190,375393.8359375 
200,375347.37109375 
210,375347.37109375 
220,375347.37109375 
227,375347.37109375 
