time,request,connect 
0,5.139,1.434 
10,4.154,1.434 
20,4.154,1.434 
30,4.154,1.434 
40,4.154,1.434 
50,4.154,1.434 
60,4.154,1.434 
70,4.154,1.434 
80,4.154,1.434 
90,4.005,1.388 
100,4.005,1.315 
110,4.005,1.315 
120,4.005,1.315 
130,4.005,1.315 
140,4.005,1.315 
150,4.005,1.315 
160,4.005,1.284 
170,4.005,1.284 
180,4.005,1.284 
190,4.005,1.284 
200,4.005,1.284 
210,4.005,1.284 
220,4.005,1.284 
230,4.005,1.284 
240,4.005,1.284 
250,4.005,1.248 
260,4.005,1.248 
270,4.005,1.248 
280,4.005,1.248 
290,4.005,1.248 
300,4.005,1.248 
310,2.887,1.248 
320,2.679,1.248 
330,2.506,1.248 
340,2.444,1.248 
350,2.444,1.248 
360,2.444,1.248 
370,2.444,1.248 
380,1.046,1.132 
390,0.944,1.062 
400,0.944,1.062 
410,0.944,1.062 
420,0.944,1.062 
430,0.944,1.062 
440,0.944,1.062 
450,0.944,1.062 
460,0.944,1.062 
470,0.944,1.062 
480,0.944,1.062 
490,0.944,1.062 
500,0.944,1.062 
510,0.944,1.062 
520,0.944,1.062 
530,0.944,1.062 
537,0.944,1.062 
