time,size_sent,size_rcv 
0,14.9671875,1210.79453125 
10,51.6703125,2933.259375 
20,31.4265625,1460.58671875 
30,7.70703125,60.11875 
40,3.7421875,748.86640625 
50,70.3828125,4741.20859375 
60,107.85,5319.33203125 
70,38.49765625,1379.7546875 
80,4.184375,14.15859375 
90,61.16015625,5186.11171875 
100,198.5484375,10536.3046875 
110,119.07109375,6328.49140625 
120,31.13203125,1318.55703125 
130,9.5984375,83.25078125 
140,0.8765625,1.80703125 
150,14.284375,2099.11484375 
160,289.4,17510.1609375 
170,354.7578125,21936.96796875 
180,170.5515625,8530.17578125 
190,29.24375,805.05625 
200,25.653125,1045.0375 
210,8.1578125,22.95703125 
220,0,0 
230,1.22578125,3.59375 
240,167.63984375,14365.7578125 
250,383.74296875,11782.86796875 
260,248.90546875,17818.19375 
270,359.165625,28076.91796875 
280,328.86171875,29307.76796875 
290,172.76484375,5896.8484375 
300,11.86015625,130.73203125 
310,3.41171875,15.69375 
320,3.22421875,11.871875 
330,10.046875,38.44609375 
340,29.8375,111.4609375 
350,18.55859375,67.6125 
360,9.3046875,33.42421875 
370,44.2390625,2634.64765625 
380,394.69140625,8134.584375 
390,484.31484375,7883.9625 
400,335.94375,17936.30625 
410,495.75625,39267.80234375 
420,396.425,17359.1703125 
430,131.46875,13120.2046875 
440,165.390625,28565.3609375 
450,245.64921875,27477.71171875 
460,247.9171875,16801.15078125 
470,66.23828125,1493.84609375 
480,9.94921875,75.36640625 
490,0.8265625,4.89453125 
500,3.3078125,13.3859375 
510,25.63359375,100.71484375 
520,28.31953125,111.40390625 
530,6.2,22.8 
537,1.17578125,4.15 
