time,freemem@tsung_controller@ip-172-31-46-69 
0,375580.55859375 
10,375580.55859375 
20,375580.55859375 
30,375580.55859375 
40,375580.55859375 
50,375580.55859375 
60,375580.55859375 
70,375580.55859375 
80,375580.55859375 
90,375580.55859375 
100,375580.55859375 
110,375580.55859375 
120,375580.55859375 
130,375580.55859375 
140,375580.55859375 
150,375580.55859375 
160,375580.55859375 
170,375580.55859375 
180,375580.55859375 
190,375580.55859375 
200,375580.55859375 
210,375580.55859375 
220,375580.55859375 
230,375580.55859375 
238,375580.55859375 
