time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,351.968,,,,,10.432,,,235.562,,,,237.35,,,352.089,2309.123,,,,,,,, 
10,712.061,,23.943,,12.288,294.056,12.61,44.31,426.07,15.546,12.431,,401.245,16.866,,633.897,11201.781,132.082,14.792,19.967,712.242,208.778,106.053,,10.061 
20,1527.14,,43.281,30.522,13.134,294.056,12.61,44.31,426.07,30.893,12.431,,401.245,17.263,1527.392,633.897,11201.781,132.082,15.016,21.911,712.242,208.778,106.076,,12.501 
30,1527.14,26.584,43.281,30.522,13.134,294.056,12.61,44.31,426.07,30.893,12.431,25.097,401.245,17.263,1527.392,633.897,11201.781,132.082,15.016,21.911,712.242,208.778,106.076,38.341,12.501 
40,1527.14,26.584,43.281,30.522,13.134,294.056,12.61,44.31,426.07,30.893,12.431,25.097,401.245,17.263,1527.392,633.897,11201.781,132.082,15.016,21.911,712.242,208.778,106.076,396.373,12.501 
50,1527.14,26.584,43.281,30.522,42.883,294.056,12.61,44.31,592.81,30.893,12.431,25.097,401.245,144.539,1527.392,660.805,11201.781,132.082,20.301,21.911,965.332,208.778,264.341,396.373,12.914 
60,4273.1,26.584,43.281,113.561,42.883,294.056,27.432,44.31,1876.724,155.156,26.684,29.57,1571.163,144.539,4273.198,1827.929,14069.37,397.514,139.53,21.911,2379.34,594.341,978.314,396.373,460.695 
70,4273.1,37.155,43.281,113.561,42.883,294.056,27.432,44.31,1876.724,155.156,26.684,29.57,1571.163,144.539,4273.198,1827.929,14069.37,397.514,139.53,23.609,2379.34,594.341,978.314,396.373,460.695 
80,4273.1,64.093,43.281,113.561,42.883,294.056,27.432,44.31,1876.724,155.156,26.684,29.57,1571.163,144.539,4273.198,1827.929,14069.37,397.514,139.53,23.609,2379.34,594.341,978.314,396.373,460.695 
90,4273.1,64.093,43.281,113.561,42.883,294.056,27.432,44.31,1876.724,155.156,26.684,29.57,1571.163,144.539,4273.198,1827.929,14069.37,397.514,139.53,23.609,2379.34,594.341,978.314,396.373,460.695 
100,4580.465,64.093,43.281,113.561,518.194,294.056,27.432,44.31,2064.105,155.156,26.684,29.57,4580.589,425.469,4273.198,4065.165,14069.37,836.818,236.929,23.609,2379.34,651.137,2277.202,396.373,460.695 
110,8648.455,64.093,43.281,113.561,1469.902,294.056,1213.842,1025.608,8648.532,155.156,1116.599,29.57,7152.498,1278.995,4273.198,8331.484,18616.734,1132.257,819.868,23.609,2379.34,3014.058,2277.202,396.373,460.695 
120,12352.557,64.093,272.084,113.561,1469.902,376.6,1213.842,1025.608,9401.256,166.971,1116.599,29.57,7152.498,1278.995,4273.198,8331.484,18616.734,1132.257,819.868,348.845,12352.699,3014.058,2277.202,396.373,460.695 
130,19591.784,64.093,272.084,113.561,1469.902,376.6,1213.842,1025.608,9401.256,278.643,1116.599,46.047,7152.498,1278.995,19592.019,8331.484,18616.734,1132.257,819.868,348.845,12352.699,3014.058,2277.202,396.373,460.695 
140,19591.784,64.093,272.084,113.561,1469.902,376.6,1213.842,1025.608,9401.256,278.643,1116.599,46.047,7152.498,1278.995,19592.019,8331.484,18616.734,1132.257,819.868,348.845,12352.699,3014.058,2277.202,396.373,460.695 
150,19591.784,64.093,272.084,113.561,1469.902,376.6,1213.842,1025.608,9401.256,278.643,1116.599,46.047,7152.498,1278.995,19592.019,8331.484,18616.734,1132.257,819.868,348.845,12352.699,3014.058,2277.202,396.373,460.695 
160,19591.784,64.093,272.084,113.561,1469.902,376.6,1213.842,1025.608,9401.256,278.643,1116.599,46.047,7152.498,1278.995,19592.019,8331.484,18616.734,1132.257,819.868,348.845,12352.699,3014.058,2277.202,396.373,460.695 
