time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,5.226,,,,,10.432,,,213.442,,,,237.35,,,201.069,1578.745,,,,,,,, 
10,5.226,,13.657,,9.79,10.432,12.61,44.31,213.442,12.729,6.206,,237.35,16.866,,201.069,556.19,129.436,13.053,16.844,448.13,90.64,80.065,,10.061 
20,5.226,,11.59,30.522,8.517,8.592,12.61,9.391,212.554,12.729,6.206,,237.35,14.039,1527.392,201.069,556.19,128.012,13.053,14.347,428.297,65.529,80.065,,8.598 
30,5.226,26.584,11.59,26.431,8.517,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,14.039,1308.932,201.069,556.19,128.012,13.053,14.163,428.297,65.529,80.065,38.341,8.598 
40,5.226,23.558,11.59,26.431,8.517,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,14.039,1308.932,201.069,556.19,128.012,13.053,14.163,428.297,65.529,80.065,38.341,8.598 
50,5.226,23.558,11.59,26.431,8.517,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,14.039,1308.932,200.009,335.565,128.012,12.836,14.163,428.297,65.529,78.928,38.341,8.598 
60,5.207,23.558,11.59,26.431,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.541,1308.932,200.009,335.565,128.012,12.836,14.163,428.297,65.529,78.928,38.341,8.598 
70,5.207,22.131,11.59,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,36.383,8.59 
80,5.207,22.131,11.557,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,36.383,8.59 
90,5.207,22.131,11.557,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,36.383,8.59 
100,5.207,22.131,11.557,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,36.383,8.59 
110,5.207,22.131,11.557,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,36.383,8.59 
120,5.207,22.131,11.557,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,36.383,8.59 
130,5.207,22.131,11.557,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,36.383,8.59 
140,5.207,22.131,11.557,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,35.239,8.59 
150,5.207,22.131,11.557,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,35.239,8.59 
160,5.207,22.131,11.557,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,35.239,8.59 
170,5.207,22.131,11.557,25.925,7.406,8.592,9.257,9.391,211.076,12.729,6.206,22.526,237.35,13.309,1308.932,200.009,335.565,128.012,12.276,14.128,412.942,65.529,78.928,35.239,8.59 
180,0.399,22.131,11.557,25.925,7.406,8.592,9.257,9.391,0.58,12.729,6.206,22.526,237.35,13.309,1308.932,1.617,335.565,128.012,1.183,14.128,1.115,65.529,0.92,35.239,8.59 
190,0.34,22.131,11.557,25.925,0.828,0.65,1.145,9.391,0.509,12.729,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,1.115,1.157,0.899,35.239,0.713 
200,0.34,22.131,11.557,25.925,0.828,0.65,1.145,9.391,0.509,12.729,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
210,0.34,22.131,11.557,25.925,0.828,0.65,1.145,9.391,0.509,12.729,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
220,0.34,22.131,11.557,25.925,0.828,0.65,1.145,9.391,0.509,12.729,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
230,0.34,22.131,11.557,25.925,0.828,0.65,1.145,9.391,0.509,12.729,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
240,0.34,22.131,11.557,25.925,0.828,0.65,1.145,9.391,0.509,4.718,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
250,0.34,22.131,11.557,25.703,0.828,0.65,1.145,9.391,0.509,4.718,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
260,0.34,22.131,11.557,25.703,0.828,0.65,1.145,9.391,0.509,4.718,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
270,0.34,22.131,11.557,25.703,0.828,0.65,1.145,9.391,0.509,4.718,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
280,0.34,22.131,11.557,25.703,0.828,0.65,1.145,9.391,0.509,4.718,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
290,0.34,22.131,11.557,25.703,0.828,0.65,1.145,9.391,0.509,4.718,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
300,0.34,22.131,11.557,25.703,0.828,0.65,1.145,9.391,0.509,4.718,6.206,22.526,237.35,0.814,1308.932,1.617,335.565,128.012,0.479,14.128,0.611,1.157,0.899,35.239,0.713 
