time,users,connected 
0,16,16 
10,28,8 
20,28,-19 
30,28,-4 
40,28,8 
50,49,38 
60,55,-7 
70,55,-35 
80,55,-4 
90,55,18 
100,112,91 
110,119,-2 
120,119,-35 
130,119,-51 
140,119,-15 
150,119,-6 
160,119,0 
170,119,110 
180,240,129 
190,240,-1 
200,240,-4 
210,240,-17 
220,240,-19 
230,240,-54 
240,240,-95 
250,240,-26 
260,240,-16 
270,240,-3 
280,240,0 
290,240,0 
300,240,-4 
310,245,233 
320,475,223 
330,475,-103 
340,475,-80 
350,475,-58 
360,475,-45 
370,475,-49 
380,475,2 
390,475,-3 
400,475,-6 
410,475,-15 
420,475,-14 
430,475,-43 
440,475,-15 
450,475,-2 
460,475,0 
470,475,0 
480,475,0 
490,475,-5 
500,475,-5 
510,475,0 
520,475,0 
530,475,0 
540,475,0 
550,475,-1 
560,475,-5 
570,475,-1 
580,475,0 
590,475,0 
600,475,0 
610,475,0 
620,475,-3 
630,475,-1 
640,475,0 
650,475,0 
660,475,0 
670,475,0 
680,475,-4 
688,475,-1 
