time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,3.4,,,,,0.1,,,0.3,,0.1,,,,,0.9,0.4,0.1,,,0.1,,,, 
10,9.7,,0.6,,0.2,0,,0.1,1.5,0.6,0,,,0.1,,0.7,1.5,0,0.2,0.2,0.6,0.2,0.2,,0.2 
20,5.3,,0.2,,0.2,0,,0.1,0.5,0.2,0,,,0.4,,0,0.4,0,0.5,0.6,0.3,0.9,0.5,,0.2 
30,1.4,,0.3,,0,0,,0.2,0,0.3,0,,,0.2,,0,0,0,0,0.1,0.1,0.2,0,,0 
40,1.7,,0,,0,0,,0,0,0,0,,,0,,0.5,0.2,0,0,0.2,0,0.1,0,,0 
50,15.9,,0.1,,0.2,0.3,,0,1.9,0.1,0.2,,0.2,0.1,,2.1,2.5,0.2,0.7,0,0.1,0.2,0.7,,0.1 
60,17.5,,1,,0.5,0.4,0.2,0.3,2.6,1,0.3,,0,1.1,0.2,0.4,1.8,0.3,0.8,0.7,1.1,2.1,0.8,,0.4 
70,5.2,0.2,0.4,0.2,0,0.1,0,0.4,0.2,0.4,0.3,0.2,0,0.3,0,0,0.2,0.2,0,0.7,0.3,0.7,0,0.2,0.2 
80,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0 
90,15.4,0,0,0,0.1,0,0.1,0,0.7,0,0,0,0.8,0,0.1,4.4,1.8,0,0,0,0.2,0,0,0,0 
100,34.4,0.1,0.2,0.1,0.4,0.3,0.4,0.3,4.5,0.2,0.3,0.1,0.3,0.1,0,4.3,7.3,0.3,0.7,0.1,0,0.3,0.8,0.1,0.4 
110,29.6,0,1.3,0,1.1,1.1,0.4,0.9,5.9,1.3,1,0,0,1.6,0,0,2.9,0.4,1.5,0.6,1.7,3,1.4,0,1.2 
120,21.5,0.5,3.2,1,0.7,0.2,0.2,0.7,0.9,3.2,0.3,0.8,0,0.5,1,0,0,0.8,0,2.9,2.8,1.1,0,0.5,0.7 
130,2.5,0.4,0,0,0.1,0,0,0.5,0,0,0,0.2,0,0,0,0,0,0.1,0,1.1,0,0,0,0.4,0.1 
136,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0 
