time,session 
10,7080.941 
20,7080.941 
30,7080.941 
40,7080.941 
50,4491.721 
60,4491.721 
70,4491.721 
80,4491.721 
90,4491.721 
100,4491.721 
110,4491.721 
120,4491.721 
130,4491.721 
140,4491.721 
150,4491.721 
160,4491.721 
170,4491.721 
180,4491.721 
190,4491.721 
200,3854.13 
210,3854.13 
220,3854.13 
230,3854.13 
240,3854.13 
250,3575.598 
260,3575.598 
270,3575.598 
280,3575.598 
290,3575.598 
300,3394.909 
310,3037.443 
320,3037.443 
330,3037.443 
340,3037.443 
350,3037.443 
360,3037.443 
370,2814.637 
380,834.662 
390,834.662 
400,834.662 
410,834.662 
420,834.662 
430,834.662 
438,834.662 
