time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Reply_To_Conversation,tr_Post_New_Book 
0,32.48607142857143,,,,,8.756,,,17.712666666666664,,5.542,,24.41333333333333,26.738,,16.578916666666668,1335.9498571428571,,12.961,,,71.154,104.89,, 
10,37.28747200000002,,12.030499999999998,25.708,7.784,11.168666666666667,8.725666666666667,24.72,18.578999999999997,23.9445,5.692333333333334,,13.938,12.896,136.872,14.6724,4270.153045454546,116.11533333333334,14.19375,13.067666666666666,26.43375,62.09133333333333,68.5375,,11.1835 
20,42.19874999999999,22.525,12.517,25.638,0,8.593,9.749,25.8435,16.999666666666666,35.0805,5.7035,24.02333333333333,0,14.715,133.0956666666667,0,12620.302,115.16233333333332,15.75475,12.8515,31.612000000000002,70.86007692307693,84.99975,33.685,12.691 
30,29.68336363636363,21.735,13.156,0,9.167,0,0,0,0,26.487,0,24.053,0,0,0,0,0,0,0,14.231,27.94,69.994,0,36.384,12.859 
40,35.67258333333334,24.505,0,0,0,0,0,24.994,18.091,0,0,0,19.936,0,0,15.956454545454546,1509.8173333333332,0,12.7165,0,0,0,76.257,38.61,0 
50,32.777431451612856,0,13.977666666666664,0,7.314833333333333,7.77225,0,22.92625,16.260322580645163,26.492833333333337,5.216666666666667,0,13.856799999999998,13.508666666666665,0,13.988192307692307,2745.6765714285707,115.61833333333334,12.8095,11.606,24.418874999999996,69.3757,69.312,0,9.47175 
60,34.79489947089946,23.35775,11.737555555555556,28.421333333333333,7.673333333333333,0,8.817571428571428,32.39116666666667,17.143919999999998,23.383888888888887,6.464,27.485999999999997,24.705,13.560285714285714,121.36071428571428,15.792,4233.082650000001,115.912,12.1832,12.663625,28.140500000000003,65.41906250000001,71.5496,33.159749999999995,10.242142857142857 
70,29.517122448979595,27.070333333333334,14.014999999999997,25.71,8.531,8.901,10.557,27.5765,18.933,26.205399999999997,6.371,24.129000000000005,0,12.953,104.492,0,11521.986499999999,118.66,13.461,14.067833333333333,26.253,66.3545,70.545,35.52366666666667,12.206499999999998 
80,27.030574999999992,25.978,0,0,0,0,0,28.225,0,0,0,0,16.0895,0,0,15.595800000000002,1152.398,0,0,15.257,0,0,0,38.973,0 
90,36.17952407932015,0,13.949400000000002,22.252,8.690142857142856,7.678400000000001,8.113,23.531,17.618414634146355,39.5236,5.4357500000000005,20.242,15.151142857142856,12.6885,180.804,14.356564102564104,3104.9709272727273,122.438,13.102800000000002,11.492,23.579000000000004,66.9936,69.9516,0,10.905750000000001 
100,37.338073684210535,27.679000000000002,11.987200000000001,24.281874999999996,7.697375,7.7525,8.212700000000002,24.367166666666666,19.981710144927536,34.693050000000014,5.438,20.9688,12.711500000000001,23.129900000000003,110.85345454545454,12.83225,4772.616779661018,119.12812500000001,12.783954545454547,12.365333333333334,27.635227272727263,78.89514285714287,69.28618181818182,33.7005,10.8024 
110,35.66798765432097,20.879,11.830000000000002,24.433999999999997,8.4526,8.333,9.388,26.199666666666666,22.577499999999997,29.252714285714287,5.692500000000001,21.8528,0,27.329555555555554,0,0,7485.8622000000005,113.96966666666667,12.507222222222222,12.931307692307692,26.451999999999998,67.10630555555555,73.55955555555556,32.2678,10.484166666666669 
120,39.65728571428571,23.182,13.261,25.852,0,0,0,27.027,0,26.12,0,23.921,0,13.806,102.776,0,0,0,0,13.88325,0,67.70333333333333,0,40.904,0 
130,59.826,21.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.072,0 
140,34.63621483375958,0,11.541,0,7.0760000000000005,7.053,8.48775,0,17.809281250000005,24.477,5.146,0,13.030130434782608,11.964666666666668,92.146,14.738314285714283,2489.268074074074,123.044,12.056111111111113,0,24.352666666666664,69.13814285714285,68.43822222222224,0,10.068 
